broker,status,qos,duration_sec,failure_type,net_failures,sent,received,loss_pct,errors,duplicates,gaps,throughput,lat_min_ms,lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,lat_max_ms,lat_stdev_ms,mttf,mttr,payload,rate
mosquitto,OK,0,585,reset_peer,6,18200,17000,6.59,0,0,1200,88.08,0.00,62.39,2.20,4.04,15.47,0.28,4.09,30,5,1024,1
mosquitto,OK,1,585,reset_peer,6,18200,18200,0.00,0,0,0,94.30,0.00,4135.58,4.32,647.50,3038.77,0.14,502.98,30,5,1024,1
mosquitto,OK,2,585,reset_peer,6,18200,18200,0.00,0,0,0,94.30,0.00,4131.39,7.93,663.22,3034.58,0.34,503.57,30,5,1024,1
emqx,OK,0,586,reset_peer,5,18200,17030,6.43,0,0,1170,88.24,0.00,94.44,1.03,2.21,20.19,0.40,6.42,30,5,1024,1
emqx,OK,1,586,reset_peer,5,18200,18200,0.00,0,0,0,94.30,0.00,4133.49,1.65,614.47,3028.29,0.58,504.21,30,5,1024,1
emqx,OK,2,586,reset_peer,5,18200,18200,0.00,0,0,0,94.30,0.00,4131.39,2.09,623.38,3063.94,0.46,504.60,30,5,1024,1
hivemq,OK,0,585,reset_peer,5,18200,17000,6.59,0,0,1200,88.09,0.00,52.36,1.20,2.39,29.59,0.60,4.11,30,5,1024,1
hivemq,OK,1,585,reset_peer,5,18200,18200,0.00,0,0,0,94.30,0.00,4135.58,3.31,672.66,3045.06,0.68,504.20,30,5,1024,1
hivemq,OK,2,585,reset_peer,5,18200,18200,0.00,0,0,0,94.30,0.00,4129.29,3.53,674.23,3057.65,0.84,503.24,30,5,1024,1
rabbitmq,OK,0,586,reset_peer,6,18200,17056,6.29,0,0,1144,88.37,0.00,103.35,0.92,1.67,8.70,0.29,5.61,30,5,1024,1
rabbitmq,OK,1,586,reset_peer,6,18200,18200,0.00,0,0,0,94.30,0.00,4200.60,1.84,475.79,3128.95,0.87,511.59,30,5,1024,1
rabbitmq,OK,2,586,reset_peer,6,18200,18200,0.00,0,0,0,94.30,0.00,4185.92,1.83,652.21,3110.08,0.88,512.82,30,5,1024,1
artemis,OK,0,586,reset_peer,5,18200,17009,6.54,0,0,1191,88.13,0.00,68.88,0.93,6.09,11.84,0.40,4.34,30,5,1024,1
artemis,OK,1,586,reset_peer,5,18200,18200,0.00,0,0,0,94.30,0.00,4179.62,2.26,664.80,3063.94,0.92,504.82,30,5,1024,1
artemis,OK,2,586,reset_peer,5,18200,18200,0.00,0,0,0,94.30,0.00,4204.79,3.05,680.53,3076.52,0.91,507.09,30,5,1024,1
