transport,payload,rate,run_id,sub_tps,p50_ms,p95_ms,p99_ms,pub_tps,sent,recv,errors,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes,avg_cpu_perc,avg_mem_perc,avg_mem_used_bytes
zenoh,1024,5000,scale_20251214_045625_zenoh_p1024_n500_r10,5000.04,0.387,0.722,1.092,5000.00,0,280002,0,/home/cc/mq-bench/artifacts/scale_20251214_045625_zenoh_p1024_n500_r10/fanout_multi_topic_perkey,48.920000,1.430000,58594427,37.856786,1.423214,58409054
zenoh,1024,10000,scale_20251214_045905_zenoh_p1024_n1000_r10,9999.91,0.488,0.984,1.708,10000.00,0,579995,0,/home/cc/mq-bench/artifacts/scale_20251214_045905_zenoh_p1024_n1000_r10/fanout_multi_topic_perkey,75.280000,2.800000,114923930,65.570690,2.795862,114822688
zenoh,1024,20000,scale_20251214_050147_zenoh_p1024_n2000_r10,20000.51,0.553,1.280,2.174,20000.07,0,1220031,0,/home/cc/mq-bench/artifacts/scale_20251214_050147_zenoh_p1024_n2000_r10/fanout_multi_topic_perkey,107.270000,5.540000,227331277,95.671333,5.531667,227139038
zenoh,1024,30000,scale_20251214_050430_zenoh_p1024_n3000_r10,29999.82,0.713,3.114,13.085,29999.95,0,1949988,0,/home/cc/mq-bench/artifacts/scale_20251214_050430_zenoh_p1024_n3000_r10/fanout_multi_topic_perkey,147.280000,8.290000,340262912,135.974062,8.279375,339804160
zenoh,1024,40000,scale_20251214_050716_zenoh_p1024_n4000_r10,40013.86,47.452,107.455,141.931,39999.96,0,2880998,0,/home/cc/mq-bench/artifacts/scale_20251214_050716_zenoh_p1024_n4000_r10/fanout_multi_topic_perkey,190.440000,11.330000,464938598,183.053143,11.154857,457907147
zenoh,1024,50000,scale_20251214_051008_zenoh_p1024_n5000_r10,49975.71,118.413,235.333,293.689,49999.93,0,3848130,0,/home/cc/mq-bench/artifacts/scale_20251214_051008_zenoh_p1024_n5000_r10/fanout_multi_topic_perkey,199.700000,16.340000,670669210,193.661842,15.979737,655989146
zenoh,1024,60000,scale_20251214_051303_zenoh_p1024_n6000_r10,40688.62,68.996,487.512,1171.656,40680.29,0,3458533,0,/home/cc/mq-bench/artifacts/scale_20251214_051303_zenoh_p1024_n6000_r10/fanout_multi_topic_perkey,193.210000,17.530000,719532851,182.954615,17.202051,706140654
redis,1024,50000,scale_20251214_070136_redis_p1024_n5000_r10,28391.25,114.520,129.199,135.427,34045.29,0,8347027,0,/home/cc/mq-bench/artifacts/scale_20251214_070136_redis_p1024_n5000_r10/fanout_multi_topic_perkey,116.680000,1.960000,80436265,110.360526,1.783158,73179291
nats,1024,50000,scale_20251214_071121_nats_p1024_n5000_r10,40021.93,47.531,115.550,190.678,49993.61,0,3495095,0,/home/cc/mq-bench/artifacts/scale_20251214_071121_nats_p1024_n5000_r10/fanout_multi_topic_perkey,198.650000,16.560000,679896678,193.929118,15.962647,655242806
mqtt_mosquitto,1024,50000,scale_20251214_071451_mosquitto_p1024_n5000_r10,34683.72,5499.970,11724.249,13545.814,49999.92,0,2381023,0,/home/cc/mq-bench/artifacts/scale_20251214_071451_mosquitto_p1024_n5000_r10/fanout_multi_topic_perkey,118.170000,7.500000,308071629,112.278966,6.714828,275677862
mqtt_emqx,1024,50000,scale_20251214_071726_emqx_p1024_n5000_r10,17712.60,8244.626,17075.355,19813.067,50001.03,0,1242756,0,/home/cc/mq-bench/artifacts/scale_20251214_071726_emqx_p1024_n5000_r10/fanout_multi_topic_perkey,199.530000,49.550000,2034740756,195.586552,47.111379,1933957127
mqtt_hivemq,1024,50000,scale_20251214_072006_hivemq_p1024_n5000_r10,5340.10,5158.994,13212.058,15409.873,40700.84,0,0,0,/home/cc/mq-bench/artifacts/scale_20251214_072006_hivemq_p1024_n5000_r10/fanout_multi_topic_perkey,194.560000,41.500000,1758921318,193.722143,30.234286,1201308113
mqtt_rabbitmq,1024,50000,scale_20251214_072244_rabbitmq_p1024_n5000_r10,18212.63,14030.428,34889.183,43066.563,49999.97,0,1351778,0,/home/cc/mq-bench/artifacts/scale_20251214_072244_rabbitmq_p1024_n5000_r10/fanout_multi_topic_perkey,199.710000,79.700000,3271691338,190.355600,69.059600,2834850214
mqtt_artemis,1024,50000,scale_20251214_072910_artemis_p1024_n5000_r10,14232.87,10753.164,30433.595,37940.711,49999.67,0,1249132,0,/home/cc/mq-bench/artifacts/scale_20251214_072910_artemis_p1024_n5000_r10/fanout_multi_topic_perkey,198.210000,71.920000,2952790016,196.042667,69.190333,2840297664
redis,1024,5000,scale_20251214_231851_redis_p1024_n500_r10,4619.52,0.417,1.051,1.725,4991.77,0,115488,0,/home/cc/mq-bench/artifacts/scale_20251214_231851_redis_p1024_n500_r10/fanout_multi_topic_perkey,47.000000,0.530000,21894267,33.148333,0.520833,21368231
redis,1024,10000,scale_20251214_231951_redis_p1024_n1000_r10,9024.64,0.553,1.268,2.569,9909.33,0,225616,0,/home/cc/mq-bench/artifacts/scale_20251214_231951_redis_p1024_n1000_r10/fanout_multi_topic_perkey,77.100000,0.460000,18832425,57.250769,0.432308,17735453
redis,1024,20000,scale_20251214_232052_redis_p1024_n2000_r10,17385.15,0.630,1.407,7.551,19366.31,0,469399,0,/home/cc/mq-bench/artifacts/scale_20251214_232052_redis_p1024_n2000_r10/fanout_multi_topic_perkey,81.530000,0.820000,33669775,72.208571,0.765000,31461025
redis,1024,30000,scale_20251214_232154_redis_p1024_n3000_r10,24081.90,28.326,67.264,72.707,28452.28,0,698375,0,/home/cc/mq-bench/artifacts/scale_20251214_232154_redis_p1024_n3000_r10/fanout_multi_topic_perkey,123.130000,1.450000,59370373,94.899333,1.162667,47680848
redis,1024,40000,scale_20251214_232312_redis_p1024_n4000_r10,26259.58,10.349,92.829,100.510,31538.85,0,866566,0,/home/cc/mq-bench/artifacts/scale_20251214_232312_redis_p1024_n4000_r10/fanout_multi_topic_perkey,122.990000,1.890000,77668024,99.124706,1.465882,60180861
redis,1024,60000,scale_20251214_232427_redis_p1024_n6000_r10,24731.82,134.262,150.546,159.431,29307.94,0,9249701,0,/home/cc/mq-bench/artifacts/scale_20251214_232427_redis_p1024_n6000_r10/fanout_multi_topic_perkey,121.590000,1.920000,78695629,97.347619,1.591429,65306312
nats,1024,5000,scale_20251214_233318_nats_p1024_n500_r10,4542.52,0.304,0.596,0.978,4966.77,0,113563,0,/home/cc/mq-bench/artifacts/scale_20251214_233318_nats_p1024_n500_r10/fanout_multi_topic_perkey,52.450000,2.060000,84672512,35.868333,1.928333,79185838
