transport,host,port,payload,subs,pubs,rate_per_pub,rate,delivery_rate,run_id,sub_tps,p50_ms,p95_ms,p99_ms,pub_tps,sent,recv,errors,loss_pct,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes,avg_cpu_perc,avg_mem_perc,avg_mem_used_bytes,max_net_rx_bps,max_net_tx_bps,avg_net_rx_bps,avg_net_tx_bps
zenoh,192.168.0.245,7447,1024,500,5,10,50,25000,fanout_steady_20260508_044527_zenoh_p1024_s500_u5_r10,5000.00,5.380,18.058,30.781,,0,255000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_044527_zenoh_p1024_s500_u5_r10/fanout_singlesite,54.800000,0.450000,37748736,52.302857,0.445714,37273881,733333.333333,30000000.000000,688888.888889,27222222.222222
zenoh,192.168.0.245,7447,1024,1000,10,10,100,100000,fanout_steady_20260508_044903_zenoh_p1024_s1000_u10_r10,10000.00,8.701,29.845,45.019,,0,520000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_044903_zenoh_p1024_s1000_u10_r10/fanout_singlesite,99.040000,1.010000,83718308,87.122500,0.995000,82765414,2000000.000000,133333333.333333,1809523.809524,100000000.000000
zenoh,192.168.0.245,7447,1024,2000,20,10,200,400000,fanout_steady_20260508_045240_zenoh_p1024_s2000_u20_r10,20000.00,9.531,17.007,24.226,,0,1060000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_045240_zenoh_p1024_s2000_u20_r10/fanout_singlesite,189.820000,1.990000,165570150,175.432500,1.978750,164718182,5666666.666667,433333333.333333,5380952.380952,419047619.047619
zenoh,192.168.0.245,7447,1024,3000,30,10,300,900000,fanout_steady_20260508_045618_zenoh_p1024_s3000_u30_r10,30052.73,61.209,133.016,209.603,,0,1652900,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_045618_zenoh_p1024_s3000_u30_r10/fanout_singlesite,251.280000,6.470000,538443776,237.013750,6.458750,537801523,4000000.000000,1033333333.333333,3761904.761905,942857142.857143
zenoh,192.168.0.245,7447,1024,4000,40,10,400,1600000,fanout_steady_20260508_045957_zenoh_p1024_s4000_u40_r10,39014.92,774.762,1666.407,3072.159,,0,2379910,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_045957_zenoh_p1024_s4000_u40_r10/fanout_singlesite,289.870000,8.980000,747320115,236.800000,8.925455,743087681,4333333.333333,1066666666.666667,3600000.000000,970000000.000000
zenoh,192.168.0.245,7447,1024,5000,50,10,500,2500000,fanout_steady_20260508_050343_zenoh_p1024_s5000_u50_r10,46823.24,1172.136,2587.682,4981.299,,0,3486334,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_050343_zenoh_p1024_s5000_u50_r10/fanout_singlesite,256.820000,11.180000,931030630,237.617500,11.145833,928007236,5333333.333333,1000000000.000000,5000000.000000,972727272.727273
zenoh,192.168.0.245,7447,1024,6000,60,10,600,3600000,fanout_steady_20260508_050733_zenoh_p1024_s6000_u60_r10,55823.81,1089.182,3852.635,7998.538,,0,2591671,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_050733_zenoh_p1024_s6000_u60_r10/fanout_singlesite,237.160000,17.550000,1461362622,227.116923,16.502308,1373811366,9000000.000000,666666666.666667,8250000.000000,558333333.333333
zenoh,192.168.0.245,7447,1024,7000,70,10,700,4900000,fanout_steady_20260508_051126_zenoh_p1024_s7000_u70_r10,60357.94,822.623,1968.344,4315.817,,0,4104340,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_051126_zenoh_p1024_s7000_u70_r10/fanout_singlesite,312.040000,16.250000,1352914698,281.770769,16.160000,1345563697,6666666.666667,1333333333.333333,5777777.777778,1027777777.777778
redis,192.168.0.245,6379,1024,500,5,10,50,25000,fanout_steady_20260508_051520_redis_p1024_s500_u5_r10,5000.00,5.064,8.755,12.515,,0,260000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_051520_redis_p1024_s500_u5_r10/fanout_singlesite,56.920000,0.150000,12152996,52.791429,0.135714,11433972,1000000.000000,30000000.000000,1000000.000000,27777777.777778
redis,192.168.0.245,6379,1024,1000,10,10,100,100000,fanout_steady_20260508_051847_redis_p1024_s1000_u10_r10,10000.00,2.727,4.485,6.212,,0,520000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_051847_redis_p1024_s1000_u10_r10/fanout_singlesite,86.000000,0.260000,21443379,83.320000,0.218571,18095426,4333333.333333,133333333.333333,4166666.666667,111111111.111111
redis,192.168.0.245,6379,1024,2000,20,10,200,400000,fanout_steady_20260508_052213_redis_p1024_s2000_u20_r10,20000.00,20.411,26.735,33.046,,0,1060000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_052213_redis_p1024_s2000_u20_r10/fanout_singlesite,115.070000,0.520000,43390075,110.311250,0.497500,41479045,7333333.333333,433333333.333333,6857142.857143,423809523.809524
redis,192.168.0.245,6379,1024,3000,30,10,300,900000,fanout_steady_20260508_052541_redis_p1024_s3000_u30_r10,23611.11,131.677,147.139,163.363,,0,1275000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_052541_redis_p1024_s3000_u30_r10/fanout_singlesite,112.450000,2.820000,234461594,109.527500,2.603750,216779981,2333333.333333,766666666.666667,2047619.047619,752380952.380952
redis,192.168.0.245,6379,1024,4000,40,10,400,1600000,fanout_steady_20260508_052910_redis_p1024_s4000_u40_r10,2468.71,321.091,452.949,5122.246,,0,160466,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_052910_redis_p1024_s4000_u40_r10/fanout_singlesite,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
redis,192.168.0.245,6379,1024,5000,50,10,500,2500000,fanout_steady_20260508_053250_redis_p1024_s5000_u50_r10,0.00,111.542,294.126,724.042,,0,0,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_053250_redis_p1024_s5000_u50_r10/fanout_singlesite,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
redis,192.168.0.245,6379,1024,6000,60,10,600,3600000,fanout_steady_20260508_053630_redis_p1024_s6000_u60_r10,0.00,64.618,187.171,418.382,,0,0,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_053630_redis_p1024_s6000_u60_r10/fanout_singlesite,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
redis,192.168.0.245,6379,1024,7000,70,10,700,4900000,fanout_steady_20260508_054011_redis_p1024_s7000_u70_r10,0.00,101.974,173.670,231.866,,0,0,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_054011_redis_p1024_s7000_u70_r10/fanout_singlesite,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
nats,192.168.0.245,4222,1024,500,5,10,50,25000,fanout_steady_20260508_054352_nats_p1024_s500_u5_r10,5000.00,2.502,4.127,5.885,,0,260000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_054352_nats_p1024_s500_u5_r10/fanout_singlesite,140.350000,0.750000,62463672,100.857143,0.748571,62325859,2000000.000000,30000000.000000,1722222.222222,27777777.777778
nats,192.168.0.245,4222,1024,1000,10,10,100,100000,fanout_steady_20260508_054718_nats_p1024_s1000_u10_r10,10000.00,2.957,4.837,6.622,,0,520000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_054718_nats_p1024_s1000_u10_r10/fanout_singlesite,264.140000,1.120000,93239378,236.701250,1.105000,92034826,5666666.666667,133333333.333333,4904761.904762,104761904.761905
nats,192.168.0.245,4222,1024,2000,20,10,200,400000,fanout_steady_20260508_055045_nats_p1024_s2000_u20_r10,20000.47,13.983,19.546,26.845,,0,1060025,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_055045_nats_p1024_s2000_u20_r10/fanout_singlesite,378.520000,2.440000,202899456,350.302500,2.356250,196254106,13333333.333333,433333333.333333,11428571.428571,423809523.809524
nats,192.168.0.245,4222,1024,3000,30,10,300,900000,fanout_steady_20260508_055413_nats_p1024_s3000_u30_r10,503.50,72.175,523.154,4656.593,,0,27189,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_055413_nats_p1024_s3000_u30_r10/fanout_singlesite,,,,,,,,,,
nats,192.168.0.245,4222,1024,4000,40,10,400,1600000,fanout_steady_20260508_055745_nats_p1024_s4000_u40_r10,86.70,1814.680,12211.311,19605.207,,0,4855,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_055745_nats_p1024_s4000_u40_r10/fanout_singlesite,,,,,,,,,,
nats,192.168.0.245,4222,1024,5000,50,10,500,2500000,fanout_steady_20260508_060117_nats_p1024_s5000_u50_r10,1958.96,1659.289,18462.885,28628.700,,0,109702,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_060117_nats_p1024_s5000_u50_r10/fanout_singlesite,,,,,,,,,,
nats,192.168.0.245,4222,1024,6000,60,10,600,3600000,fanout_steady_20260508_060451_nats_p1024_s6000_u60_r10,2611.33,2548.626,20964.695,34953.766,,0,151457,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_060451_nats_p1024_s6000_u60_r10/fanout_singlesite,,,,,,,,,,
nats,192.168.0.245,4222,1024,7000,70,10,700,4900000,fanout_steady_20260508_060827_nats_p1024_s7000_u70_r10,3440.63,1397.193,21106.227,40475.593,,0,202997,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_060827_nats_p1024_s7000_u70_r10/fanout_singlesite,,,,,,,,,,
rabbitmq,192.168.0.245,5672,1024,500,5,10,50,25000,fanout_steady_20260508_061208_rabbitmq_p1024_s500_u5_r10,5000.00,5.743,8.376,11.309,,0,255000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_061208_rabbitmq_p1024_s500_u5_r10/fanout_singlesite,276.960000,5.200000,432747315,266.190909,5.142727,428219373,2500000.000000,35000000.000000,2400000.000000,30500000.000000
rabbitmq,192.168.0.245,5672,1024,1000,10,10,100,100000,fanout_steady_20260508_061538_rabbitmq_p1024_s1000_u10_r10,5695.70,8058.816,18622.111,29745.764,,0,393003,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_061538_rabbitmq_p1024_s1000_u10_r10/fanout_singlesite,398.230000,9.310000,775107379,396.312632,9.114737,758876526,6000000.000000,65000000.000000,5425925.925926,61388888.888889
rabbitmq,192.168.0.245,5672,1024,2000,20,10,200,400000,fanout_steady_20260508_061925_rabbitmq_p1024_s2000_u20_r10,2362.67,6765.166,23775.712,45060.501,,0,278795,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_061925_rabbitmq_p1024_s2000_u20_r10/fanout_singlesite,397.250000,15.990000,1331439862,395.178095,15.673333,1305056491,5000000.000000,55000000.000000,4550000.000000,52583333.333333
