timestamp,container,cpu_perc,mem_perc,mem_usage,net_rx_b,net_tx_b
1781765904,artemis,246.70%,3.30%,261.8MiB / 7.754GiB,51800,35100
1781765906,artemis,1.55%,3.30%,262.1MiB / 7.754GiB,51800,35100
1781765908,artemis,0.63%,3.30%,261.9MiB / 7.754GiB,51800,35100
1781765911,artemis,121.73%,3.75%,297.4MiB / 7.754GiB,102000,63200
1781765913,artemis,1.62%,3.75%,297.5MiB / 7.754GiB,102000,63200
1781765915,artemis,1.24%,3.74%,297.3MiB / 7.754GiB,102000,63200
1781765917,artemis,137.11%,4.35%,345.1MiB / 7.754GiB,152000,92300
1781765919,artemis,3.14%,4.21%,334.3MiB / 7.754GiB,152000,92300
1781765921,artemis,0.98%,4.21%,334.7MiB / 7.754GiB,152000,92300
1781765923,artemis,29.61%,4.32%,343.2MiB / 7.754GiB,164000,98900
1781765925,artemis,0.56%,4.67%,370.4MiB / 7.754GiB,203000,120000
1781765927,artemis,0.14%,4.66%,370.4MiB / 7.754GiB,203000,120000
1781765929,artemis,0.23%,4.66%,370.4MiB / 7.754GiB,203000,120000
1781765931,artemis,0.27%,5.13%,407.6MiB / 7.754GiB,253000,149000
1781765933,artemis,0.21%,5.13%,407.6MiB / 7.754GiB,253000,149000
1781765936,artemis,0.54%,5.14%,408.1MiB / 7.754GiB,267000,162000
1781765938,artemis,4.89%,5.61%,445.1MiB / 7.754GiB,317000,190000
1781765940,artemis,0.94%,5.60%,444.9MiB / 7.754GiB,322000,193000
1781765942,artemis,0.17%,5.60%,444.9MiB / 7.754GiB,330000,197000
1781765944,artemis,97.80%,6.29%,499.1MiB / 7.754GiB,381000,225000
1781765946,artemis,0.51%,6.29%,499MiB / 7.754GiB,381000,225000
1781765948,artemis,0.17%,6.29%,499.1MiB / 7.754GiB,394000,232000
1781765950,artemis,82.07%,6.31%,501MiB / 7.754GiB,444000,261000
1781765952,artemis,0.61%,6.31%,500.8MiB / 7.754GiB,444000,261000
1781765954,artemis,0.67%,6.31%,500.8MiB / 7.754GiB,458000,267000
1781765956,artemis,43.65%,6.34%,503.7MiB / 7.754GiB,479000,279000
1781765959,artemis,1.07%,6.76%,537.1MiB / 7.754GiB,508000,295000
1781765961,artemis,13.24%,6.76%,536.7MiB / 7.754GiB,521000,302000
1781765963,artemis,0.71%,6.76%,536.7MiB / 7.754GiB,521000,302000
1781765965,artemis,182.27%,6.82%,541.8MiB / 7.754GiB,1180000,1560000
1781765967,artemis,397.72%,7.44%,590.7MiB / 7.754GiB,4210000,11400000
1781765969,artemis,394.02%,8.72%,692.5MiB / 7.754GiB,8770000,36900000
1781765971,artemis,392.78%,10.78%,855.7MiB / 7.754GiB,12700000,72900000
1781765973,artemis,395.57%,13.73%,1.065GiB / 7.754GiB,17500000,128000000
1781765975,artemis,393.27%,14.14%,1.097GiB / 7.754GiB,25600000,189000000
1781765977,artemis,392.53%,15.77%,1.223GiB / 7.754GiB,35000000,237000000
1781765979,artemis,389.73%,15.81%,1.226GiB / 7.754GiB,46100000,292000000
1781765981,artemis,389.91%,15.83%,1.228GiB / 7.754GiB,57900000,351000000
1781765983,artemis,386.08%,15.68%,1.216GiB / 7.754GiB,72900000,422000000
1781765986,artemis,386.29%,15.71%,1.218GiB / 7.754GiB,85900000,485000000
1781765988,artemis,388.27%,15.72%,1.219GiB / 7.754GiB,101000000,559000000
