transport,run_id,time_s,phase,phase_time_s,target_throughput_msg_s,delivery_throughput_msg_s,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_latency_ms,cpu_cores,memory_gb,network_rx_gbps,network_tx_gbps
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,0,baseline,0,200000,198805.54,52.755868,452.913972,507.784956,121.55672,3.6581,1.049,0.068,0.244
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,1,baseline,1,200000,202023.64,64.478414,451.092804,500.338382,129.59825,3.6581,1.049,0.068,0.244
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,2,baseline,2,200000,198111.77,52.605584,408.408662,449.585355,120.730799,3.63,1.045,0.076,0.236
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,3,baseline,3,200000,198157.2,73.635122,476.207817,508.222495,164.234208,3.63,1.045,0.076,0.236
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,4,baseline,4,200000,210813.76,70.101791,387.412872,421.699745,125.421842,3.4867,1.045,0.084,0.248
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,5,baseline,5,200000,207692.51,36.963238,298.118344,347.450421,84.863515,3.4867,1.045,0.084,0.248
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,6,baseline,6,200000,192139.49,32.978985,193.476792,232.778181,62.621646,3.648,0.745117,0.076,0.228
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,7,baseline,7,200000,195506.59,94.195985,256.50088,292.581255,108.320534,3.648,0.745117,0.076,0.228
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,8,baseline,8,200000,200422.94,73.407719,345.758862,383.536807,123.318443,3.5544,0.745508,0.076,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,9,baseline,9,200000,203655.79,55.545787,362.759388,407.50704,112.233024,3.5544,0.745508,0.076,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,10,baseline,10,200000,189836.97,68.987785,351.100562,393.278985,113.648167,3.5544,0.745508,0.076,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,11,baseline,11,200000,202175.84,73.977191,498.530637,543.812613,160.496233,3.6318,0.745215,0.050667,0.16
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,12,baseline,12,200000,215327.56,54.686658,310.798616,377.386202,94.959225,3.6318,0.745215,0.050667,0.16
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,13,baseline,13,200000,189279.43,21.768742,246.21787,296.699624,67.977527,3.6071,0.745801,0.08,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,14,baseline,14,200000,192379.37,95.763712,335.405186,372.375328,133.850855,3.6071,0.745801,0.08,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,15,baseline,15,200000,197611.94,128.790047,413.229095,505.180288,153.446037,3.7266,0.746094,0.064,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,16,baseline,16,200000,204224.5,96.106337,545.943725,590.733714,166.776291,3.7266,0.746094,0.064,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,17,baseline,17,200000,195061.66,70.703305,439.501113,464.999062,149.51368,3.702,0.746582,0.064,0.2
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,18,baseline,18,200000,194702.39,161.419051,483.430472,516.380426,188.523419,3.702,0.746582,0.064,0.2
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,19,baseline,19,200000,211597.82,125.781279,447.610879,482.01384,170.698518,3.6721,0.747266,0.056,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,20,baseline,20,200000,212814.66,75.311462,307.856689,336.811935,111.891267,3.6721,0.747266,0.056,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,21,baseline,21,200000,189322.83,63.700764,296.679619,340.431781,99.427754,3.7011,0.748535,0.06,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,22,baseline,22,200000,203411.37,81.351299,313.486601,342.336772,121.179291,3.7011,0.748535,0.06,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,23,baseline,23,200000,202244.94,41.610353,342.776653,393.101084,100.009224,3.6986,0.738086,0.06,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,24,baseline,24,200000,197068.21,64.851582,283.190161,313.425187,98.655546,3.6986,0.738086,0.06,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,25,baseline,25,200000,199080.06,71.753348,296.848434,336.259045,108.637796,3.7739,0.738965,0.076,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,26,baseline,26,200000,200093.52,95.888583,267.331493,313.685586,108.040346,3.7739,0.738965,0.076,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,27,baseline,27,200000,212462.58,57.504406,289.566872,324.920684,92.685862,3.6932,0.739453,0.068,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,28,baseline,28,200000,196085.07,46.150227,194.632645,223.135147,66.018039,3.6932,0.739453,0.068,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,29,baseline,29,200000,199502.23,54.279772,205.463515,242.874384,75.96679,3.714,0.739453,0.06,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,30,baseline,30,200000,194756.67,39.582241,271.869917,305.726122,84.914718,3.714,0.739453,0.06,0.24
mqtt_artemis,fanout_bursty_20260618_065754_mqtt_artemis_p64_s1000_u10_bursty,31,baseline,31,200000,200629.28,63.336364,255.522107,291.361654,96.554639,3.696,0.739746,0.064,0.24
