timestamp,sent_count,received_count,error_count,total_throughput,interval_throughput,latency_ns_p25,latency_ns_p50,latency_ns_p75,latency_ns_p95,latency_ns_p99,latency_ns_min,latency_ns_max,latency_ns_mean,latency_ns_stddev,latency_sample_count,connections,active_connections,connection_attempts,connection_failures,crashes_injected,reconnects,reconnect_failures,duplicate_count,gap_count,interval_latency_ns_p50,interval_latency_ns_p95,interval_latency_ns_p99,interval_latency_ns_mean,interval_latency_sample_count
1781841973,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00,0
1781841974,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00,0
1781841975,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00,0
1781841976,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00,0
1781841977,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00,0
1781841978,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00,0
1781841979,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00,0
1781841980,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,2,2,2,0,0,0,0,0,0,0,0,0,0.00,0
1781841981,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,2,2,2,0,0,0,0,0,0,0,0,0,0.00,0
1781841982,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,2,2,2,0,0,0,0,0,0,0,0,0,0.00,0
1781841983,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,2,2,2,0,0,0,0,0,0,0,0,0,0.00,0
1781841984,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,2,2,2,0,0,0,0,0,0,0,0,0,0.00,0
1781841985,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,2,2,2,0,0,0,0,0,0,0,0,0,0.00,0
1781841986,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,2,2,2,0,0,0,0,0,0,0,0,0,0.00,0
1781841987,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,3,3,3,0,0,0,0,0,0,0,0,0,0.00,0
1781841988,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,3,3,3,0,0,0,0,0,0,0,0,0,0.00,0
1781841989,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,3,3,3,0,0,0,0,0,0,0,0,0,0.00,0
1781841990,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,3,3,3,0,0,0,0,0,0,0,0,0,0.00,0
1781841991,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,3,3,3,0,0,0,0,0,0,0,0,0,0.00,0
1781841992,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,3,3,3,0,0,0,0,0,0,0,0,0,0.00,0
1781841993,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,3,3,3,0,0,0,0,0,0,0,0,0,0.00,0
1781841994,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,4,4,4,0,0,0,0,0,0,0,0,0,0.00,0
1781841995,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,4,4,4,0,0,0,0,0,0,0,0,0,0.00,0
1781841996,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,4,4,4,0,0,0,0,0,0,0,0,0,0.00,0
1781841997,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,4,4,4,0,0,0,0,0,0,0,0,0,0.00,0
1781841998,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,4,4,4,0,0,0,0,0,0,0,0,0,0.00,0
1781841999,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,4,4,4,0,0,0,0,0,0,0,0,0,0.00,0
1781842000,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,5,5,5,0,0,0,0,0,0,0,0,0,0.00,0
1781842001,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,5,5,5,0,0,0,0,0,0,0,0,0,0.00,0
1781842002,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,5,5,5,0,0,0,0,0,0,0,0,0,0.00,0
1781842003,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,5,5,5,0,0,0,0,0,0,0,0,0,0.00,0
1781842004,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,5,5,5,0,0,0,0,0,0,0,0,0,0.00,0
1781842005,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,5,5,5,0,0,0,0,0,0,0,0,0,0.00,0
1781842006,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,5,5,5,0,0,0,0,0,0,0,0,0,0.00,0
1781842007,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,6,6,6,0,0,0,0,0,0,0,0,0,0.00,0
1781842008,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,6,6,6,0,0,0,0,0,0,0,0,0,0.00,0
1781842009,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,6,6,6,0,0,0,0,0,0,0,0,0,0.00,0
1781842010,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,6,6,6,0,0,0,0,0,0,0,0,0,0.00,0
1781842011,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,6,6,6,0,0,0,0,0,0,0,0,0,0.00,0
1781842012,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,6,6,6,0,0,0,0,0,0,0,0,0,0.00,0
1781842013,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,6,6,6,0,0,0,0,0,0,0,0,0,0.00,0
1781842014,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,7,7,7,0,0,0,0,0,0,0,0,0,0.00,0
1781842015,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,7,7,7,0,0,0,0,0,0,0,0,0,0.00,0
1781842016,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,7,7,7,0,0,0,0,0,0,0,0,0,0.00,0
1781842017,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,7,7,7,0,0,0,0,0,0,0,0,0,0.00,0
1781842018,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,7,7,7,0,0,0,0,0,0,0,0,0,0.00,0
1781842019,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,7,7,7,0,0,0,0,0,0,0,0,0,0.00,0
1781842020,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,8,8,8,0,0,0,0,0,0,0,0,0,0.00,0
1781842021,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,8,8,8,0,0,0,0,0,0,0,0,0,0.00,0
1781842022,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,8,8,8,0,0,0,0,0,0,0,0,0,0.00,0
1781842023,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,8,8,8,0,0,0,0,0,0,0,0,0,0.00,0
1781842024,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,8,8,8,0,0,0,0,0,0,0,0,0,0.00,0
1781842025,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,8,8,8,0,0,0,0,0,0,0,0,0,0.00,0
1781842026,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,8,8,8,0,0,0,0,0,0,0,0,0,0.00,0
1781842027,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,9,9,9,0,0,0,0,0,0,0,0,0,0.00,0
1781842028,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,9,9,9,0,0,0,0,0,0,0,0,0,0.00,0
1781842029,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,9,9,9,0,0,0,0,0,0,0,0,0,0.00,0
1781842030,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,9,9,9,0,0,0,0,0,0,0,0,0,0.00,0
1781842031,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,9,9,9,0,0,0,0,0,0,0,0,0,0.00,0
1781842032,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,9,9,9,0,0,0,0,0,0,0,0,0,0.00,0
1781842033,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,9,9,9,0,0,0,0,0,0,0,0,0,0.00,0
1781842034,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,0,10,10,10,0,0,0,0,0,0,0,0,0,0.00,0
1781842035,0,160,0,212.96,159.94,1264639,2256895,3217407,52101119,54001663,486144,54263807,5476419.20,12346937.11,160,10,10,10,0,0,0,0,0,0,2256895,52101119,54001663,5476419.20,160
1781842036,0,360,0,205.57,200.02,1246207,2191359,3117055,4734975,53477375,486144,54263807,3599643.38,8431283.03,360,10,10,10,0,0,0,0,0,0,2119679,3606527,3700735,2098222.72,200
1781842037,0,560,0,203.56,200.04,1243135,2177023,2951167,3661823,52953087,486144,54263807,3045275.20,6824758.92,560,10,10,10,0,0,0,0,0,0,1949695,3590143,3635199,2047412.48,200
1781842038,0,760,0,202.63,200.08,1241087,2179071,2947071,3631103,52396031,486144,54263807,2798451.71,5894517.77,760,10,10,10,0,0,0,0,0,0,2179071,3596287,3895295,2107345.92,200
1781842039,0,960,0,202.08,200.00,1240063,2177023,2947071,3635199,51806207,486144,54263807,2648480.80,5271863.35,960,10,10,10,0,0,0,0,0,0,1959935,3657727,3690495,2078591.36,200
1781842040,0,1160,0,201.72,200.00,1241087,2177023,2951167,3635199,6635519,486144,54263807,2562954.59,4824802.43,1160,10,10,10,0,0,0,0,0,0,2166783,3635199,3684351,2152428.80,200
1781842041,0,1360,0,201.46,200.00,1241087,2177023,2951167,3641343,6148095,486144,54263807,2494858.54,4474854.80,1360,10,10,10,0,0,0,0,0,0,1969151,3641343,3684351,2099901.44,200
1781842042,0,1561,0,201.40,200.95,1242111,2166783,2953215,3643391,5713919,486144,54263807,2440792.48,4193877.72,1561,10,10,10,0,0,0,0,0,0,1963007,3645439,3678207,2074972.34,201
1781842043,0,1760,0,201.11,198.91,1243135,2164735,2957311,3645439,5197823,486144,54263807,2402925.53,3964807.41,1760,10,10,10,0,0,0,0,0,0,2107391,3649535,3727359,2105888.80,199
1781842044,0,1960,0,201.00,200.01,1243135,2156543,2953215,3647487,4734975,486144,54263807,2369651.92,3771172.95,1960,10,10,10,0,0,0,0,0,0,1979391,3647487,3698687,2076844.16,200
1781842045,0,2160,0,200.91,200.06,1243135,2113535,2953215,3645439,4485119,486144,54263807,2342336.71,3605520.63,2160,10,10,10,0,0,0,0,0,0,2001919,3622911,3700735,2074647.68,200
1781842046,0,2361,0,200.92,201.02,1243135,2113535,2951167,3639295,4272127,486144,54263807,2317127.89,3460944.72,2361,10,10,10,0,0,0,0,0,0,1957887,3520511,3641343,2046227.10,201
1781842047,0,2561,0,200.85,199.99,1242111,2154495,2951167,3635199,4591615,457984,54263807,2314137.29,3383565.54,2561,10,10,10,0,0,0,0,0,0,2174975,3555327,5627903,2278833.28,200
1781842048,0,2761,0,200.79,200.01,1240063,2150399,2947071,3631103,4485119,443904,54263807,2293147.86,3270292.27,2761,10,10,10,0,0,0,0,0,0,1905663,3573759,3594239,2024378.24,200
1781842049,0,2960,0,200.67,199.06,1239039,2127871,2947071,3631103,4272127,443904,54263807,2277467.11,3169573.09,2960,10,10,10,0,0,0,0,0,0,2042879,3698687,3778559,2059906.57,199
1781842050,0,3160,0,200.63,200.00,1235967,2119679,2942975,3624959,4141055,442624,54263807,2267056.32,3095685.75,3160,10,10,10,0,0,0,0,0,0,1890303,3583999,3624959,2112976.64,200
1781842051,0,3361,0,200.65,200.95,1232895,2113535,2940927,3622911,3895295,442624,54263807,2252234.34,3011984.57,3361,10,10,10,0,0,0,0,0,0,1902591,3575807,3612671,2019212.10,201
1781842052,0,3561,0,200.61,200.05,1229823,2107391,2934783,3618815,3803135,442624,54263807,2239405.36,2935936.39,3561,10,10,10,0,0,0,0,0,0,1903615,3567615,3602431,2023814.40,200
1781842053,0,3760,0,200.53,198.99,1226751,2107391,2930687,3614719,3780607,442624,54263807,2229024.31,2866406.61,3760,10,10,10,0,0,0,0,0,0,2148351,3581951,3629055,2043260.78,199
1781842054,0,3960,0,200.50,200.02,1226751,2099199,2930687,3614719,3778559,442624,54263807,2221043.20,2801889.39,3960,10,10,10,0,0,0,0,0,0,1968127,3647487,3700735,2070998.40,200
1781842055,0,4160,0,200.47,199.86,1230847,2099199,2934783,3616767,3760127,442624,54263807,2216367.63,2742291.33,4160,10,10,10,0,0,0,0,0,0,2066431,3641343,3725311,2123791.36,200
1781842056,0,4360,0,200.45,200.06,1231871,2092031,2936831,3618815,3747839,442624,54263807,2210243.17,2686844.87,4360,10,10,10,0,0,0,0,0,0,2012159,3647487,3700735,2082854.40,200
