timestamp,container,cpu_perc,mem_perc,mem_usage,net_rx_b,net_tx_b
1782181086,artemis,336.44%,3.98%,316.2MiB / 7.754GiB,51900,35100
1782181088,artemis,0.77%,3.98%,316.4MiB / 7.754GiB,51900,35100
1782181090,artemis,1.66%,3.98%,316.1MiB / 7.754GiB,51900,35100
1782181092,artemis,103.85%,4.26%,338.1MiB / 7.754GiB,102000,64000
1782181094,artemis,0.25%,4.25%,337.8MiB / 7.754GiB,102000,64000
1782181097,artemis,1.56%,4.25%,337.8MiB / 7.754GiB,102000,64000
1782181099,artemis,139.24%,4.45%,353.2MiB / 7.754GiB,153000,92900
1782181101,artemis,0.19%,4.45%,353.1MiB / 7.754GiB,153000,92900
1782181103,artemis,0.15%,4.45%,353.1MiB / 7.754GiB,153000,92900
1782181105,artemis,111.13%,4.47%,354.9MiB / 7.754GiB,199000,119000
1782181107,artemis,1.14%,4.47%,354.6MiB / 7.754GiB,203000,121000
1782181109,artemis,0.15%,4.46%,354.3MiB / 7.754GiB,203000,121000
1782181111,artemis,0.14%,4.46%,354.3MiB / 7.754GiB,203000,121000
1782181113,artemis,0.24%,5.21%,413.6MiB / 7.754GiB,253000,149000
1782181115,artemis,4.37%,5.21%,413.8MiB / 7.754GiB,253000,149000
1782181118,artemis,0.70%,5.21%,413.8MiB / 7.754GiB,267000,163000
1782181120,artemis,2.81%,5.23%,415.1MiB / 7.754GiB,317000,191000
1782181122,artemis,5.86%,5.23%,415.4MiB / 7.754GiB,330000,198000
1782181124,artemis,0.79%,5.23%,415.4MiB / 7.754GiB,330000,198000
1782181126,artemis,10.74%,6.09%,483.2MiB / 7.754GiB,381000,227000
1782181128,artemis,7.60%,6.08%,483.1MiB / 7.754GiB,387000,230000
1782181130,artemis,0.89%,6.08%,483MiB / 7.754GiB,394000,234000
1782181132,artemis,99.66%,6.09%,483.7MiB / 7.754GiB,444000,262000
1782181134,artemis,0.64%,6.09%,483.7MiB / 7.754GiB,444000,262000
1782181137,artemis,0.53%,6.09%,483.7MiB / 7.754GiB,458000,269000
1782181139,artemis,110.61%,6.12%,485.9MiB / 7.754GiB,508000,297000
1782181141,artemis,2.30%,6.12%,486MiB / 7.754GiB,508000,297000
1782181143,artemis,0.20%,6.12%,485.8MiB / 7.754GiB,522000,304000
1782181145,artemis,100.54%,6.80%,540.2MiB / 7.754GiB,564000,328000
1782181147,artemis,347.60%,7.51%,596.5MiB / 7.754GiB,2060000,3430000
1782181149,artemis,200.45%,7.38%,586.3MiB / 7.754GiB,4890000,9370000
1782181151,artemis,204.21%,7.39%,586.9MiB / 7.754GiB,7770000,15400000
1782181153,artemis,196.78%,7.39%,586.5MiB / 7.754GiB,10600000,21400000
1782181156,artemis,189.69%,7.42%,589.1MiB / 7.754GiB,13500000,27500000
1782181158,artemis,174.43%,7.59%,602.7MiB / 7.754GiB,16400000,33500000
1782181160,artemis,199.80%,7.59%,602.3MiB / 7.754GiB,19300000,39600000
1782181162,artemis,189.99%,7.59%,602.6MiB / 7.754GiB,22200000,45700000
1782181164,artemis,189.88%,7.59%,602.8MiB / 7.754GiB,25100000,51700000
1782181166,artemis,183.48%,7.69%,610.8MiB / 7.754GiB,28000000,57800000
1782181168,artemis,187.28%,7.71%,612.1MiB / 7.754GiB,30800000,63800000
1782181170,artemis,184.53%,7.62%,604.8MiB / 7.754GiB,33700000,69900000
1782181173,artemis,184.64%,7.62%,605MiB / 7.754GiB,36600000,75900000
1782181175,artemis,190.98%,7.61%,604.6MiB / 7.754GiB,39500000,82000000
1782181177,artemis,190.31%,7.64%,606.6MiB / 7.754GiB,42400000,88000000
1782181179,artemis,184.36%,7.62%,605.3MiB / 7.754GiB,45300000,94100000
1782181181,artemis,181.82%,7.63%,605.8MiB / 7.754GiB,48100000,100000000
1782181183,artemis,179.73%,7.63%,605.6MiB / 7.754GiB,51000000,106000000
1782181185,artemis,185.96%,7.64%,606.3MiB / 7.754GiB,53900000,112000000
1782181188,artemis,180.53%,7.64%,606.2MiB / 7.754GiB,56800000,118000000
1782181190,artemis,184.21%,7.63%,606MiB / 7.754GiB,59700000,124000000
1782181192,artemis,184.08%,7.63%,606.2MiB / 7.754GiB,62600000,130000000
1782181194,artemis,173.18%,7.63%,606.2MiB / 7.754GiB,65400000,136000000
