timestamp,container,cpu_perc,mem_perc,mem_usage,net_rx_b,net_tx_b
1782321406,rabbitmq,13.72%,1.66%,132MiB / 7.754GiB,133000,135000
1782321408,rabbitmq,0.31%,1.63%,129.5MiB / 7.754GiB,133000,135000
1782321411,rabbitmq,4.10%,1.57%,124.8MiB / 7.754GiB,133000,135000
1782321413,rabbitmq,78.78%,1.68%,133.4MiB / 7.754GiB,265000,268000
1782321415,rabbitmq,0.23%,1.66%,131.8MiB / 7.754GiB,265000,268000
1782321417,rabbitmq,2.45%,1.65%,131.1MiB / 7.754GiB,265000,268000
1782321419,rabbitmq,84.12%,1.79%,142.1MiB / 7.754GiB,397000,401000
1782321421,rabbitmq,1.51%,1.78%,141.3MiB / 7.754GiB,397000,401000
1782321423,rabbitmq,0.57%,1.83%,144.9MiB / 7.754GiB,397000,401000
1782321425,rabbitmq,54.28%,1.88%,149.1MiB / 7.754GiB,466000,471000
1782321427,rabbitmq,12.26%,2.00%,159.1MiB / 7.754GiB,529000,534000
1782321429,rabbitmq,2.32%,1.99%,157.8MiB / 7.754GiB,529000,534000
1782321432,rabbitmq,0.21%,1.97%,156.7MiB / 7.754GiB,529000,534000
1782321434,rabbitmq,4.52%,2.17%,172.7MiB / 7.754GiB,661000,667000
1782321436,rabbitmq,6.07%,2.16%,171.4MiB / 7.754GiB,675000,681000
1782321438,rabbitmq,14.82%,2.23%,177.4MiB / 7.754GiB,675000,681000
1782321440,rabbitmq,3.30%,2.31%,183.6MiB / 7.754GiB,807000,815000
1782321442,rabbitmq,15.84%,2.35%,186.7MiB / 7.754GiB,819000,826000
1782321444,rabbitmq,5.17%,2.37%,188MiB / 7.754GiB,821000,829000
1782321446,rabbitmq,36.01%,2.49%,197.6MiB / 7.754GiB,953000,962000
1782321448,rabbitmq,0.23%,2.56%,203.5MiB / 7.754GiB,953000,962000
1782321450,rabbitmq,6.32%,2.55%,202.4MiB / 7.754GiB,967000,976000
1782321453,rabbitmq,94.51%,2.83%,224.8MiB / 7.754GiB,1100000,1110000
1782321455,rabbitmq,1.00%,2.76%,218.8MiB / 7.754GiB,1100000,1110000
1782321457,rabbitmq,1.43%,2.73%,216.8MiB / 7.754GiB,1110000,1120000
1782321459,rabbitmq,83.05%,2.94%,233.8MiB / 7.754GiB,1240000,1260000
1782321461,rabbitmq,3.92%,2.88%,229MiB / 7.754GiB,1240000,1260000
1782321463,rabbitmq,16.75%,3.01%,238.9MiB / 7.754GiB,1260000,1270000
1782321465,rabbitmq,31.91%,2.96%,234.7MiB / 7.754GiB,1300000,1310000
1782321467,rabbitmq,231.76%,4.10%,325.3MiB / 7.754GiB,2840000,5640000
1782321469,rabbitmq,274.16%,4.36%,345.9MiB / 7.754GiB,6560000,17100000
1782321471,rabbitmq,270.02%,4.39%,348.3MiB / 7.754GiB,10300000,28700000
1782321474,rabbitmq,268.73%,4.57%,362.9MiB / 7.754GiB,14000000,40000000
1782321476,rabbitmq,273.69%,4.75%,376.9MiB / 7.754GiB,17700000,51600000
1782321478,rabbitmq,273.98%,5.14%,408.3MiB / 7.754GiB,21400000,63100000
1782321480,rabbitmq,271.40%,4.99%,395.9MiB / 7.754GiB,25100000,74400000
1782321482,rabbitmq,277.18%,5.04%,399.9MiB / 7.754GiB,28800000,85900000
1782321484,rabbitmq,275.19%,5.10%,404.6MiB / 7.754GiB,32500000,97300000
1782321486,rabbitmq,273.25%,5.06%,401.6MiB / 7.754GiB,36200000,109000000
1782321488,rabbitmq,269.36%,5.19%,411.9MiB / 7.754GiB,39900000,120000000
1782321490,rabbitmq,271.28%,5.15%,409.2MiB / 7.754GiB,43600000,132000000
1782321492,rabbitmq,280.25%,5.21%,413.5MiB / 7.754GiB,47300000,143000000
1782321494,rabbitmq,267.49%,5.15%,409.1MiB / 7.754GiB,51000000,154000000
1782321496,rabbitmq,269.34%,5.12%,406.6MiB / 7.754GiB,54700000,166000000
1782321498,rabbitmq,267.80%,5.18%,411.3MiB / 7.754GiB,58400000,177000000
1782321501,rabbitmq,271.40%,5.18%,411.2MiB / 7.754GiB,62100000,189000000
1782321503,rabbitmq,274.65%,5.36%,425.4MiB / 7.754GiB,65800000,200000000
1782321505,rabbitmq,272.36%,5.18%,411.6MiB / 7.754GiB,69500000,211000000
1782321507,rabbitmq,277.05%,5.19%,411.8MiB / 7.754GiB,73200000,223000000
1782321509,rabbitmq,271.19%,5.19%,411.9MiB / 7.754GiB,76900000,234000000
1782321511,rabbitmq,274.89%,5.13%,407.7MiB / 7.754GiB,80600000,246000000
1782321513,rabbitmq,271.00%,5.32%,422.4MiB / 7.754GiB,84300000,257000000
1782321515,rabbitmq,270.69%,5.14%,408MiB / 7.754GiB,88000000,269000000
1782321517,rabbitmq,272.52%,5.17%,410.3MiB / 7.754GiB,91700000,280000000
1782321519,rabbitmq,272.63%,5.23%,415.1MiB / 7.754GiB,95400000,291000000
1782321521,rabbitmq,270.79%,5.18%,411.5MiB / 7.754GiB,99100000,303000000
1782321523,rabbitmq,269.10%,5.41%,429.4MiB / 7.754GiB,103000000,314000000
1782321526,rabbitmq,273.42%,5.36%,425.4MiB / 7.754GiB,106000000,326000000
1782321528,rabbitmq,271.78%,5.45%,432.8MiB / 7.754GiB,110000000,337000000
1782321530,rabbitmq,269.25%,5.37%,426.8MiB / 7.754GiB,114000000,349000000
