transport,host,port,payload,subs,pubs,phase,phase_start_s,phase_end_s,rate_per_pub,rate,delivery_rate,run_id,sub_tps,p25_ms,p50_ms,p75_ms,p95_ms,p99_ms,min_ms,max_ms,avg_latency_ms,pub_tps,sent,recv,errors,loss_pct,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes,avg_cpu_perc,avg_mem_perc,avg_mem_used_bytes,max_net_rx_bps,max_net_tx_bps,avg_net_rx_bps,avg_net_tx_bps
mqtt_mosquitto,192.168.0.245,1883,64,1000,10,warmup,0,60,20,200,20000,fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty,19942.95,1.418,2.237,3.144,4.530,5.123,0.179,55.869,2.336,198.65,11919,1196577,0,-0.39,/home/cc/mq-bench/results/fanout_bursty_load_20260619_040551/raw_data/fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty/fanout_singlesite,77.070000,0.120000,10391388,35.892000,0.106500,9050679,10933333.333333,22933333.333333,5181052.631579,10793263.157895
mqtt_mosquitto,192.168.0.245,1883,64,1000,10,baseline,60,120,20,200,20000,fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty,20366.22,1.381,2.147,3.088,3.903,4.247,0.179,55.869,2.222,203.55,12213,1221973,0,-0.06,/home/cc/mq-bench/results/fanout_bursty_load_20260619_040551/raw_data/fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty/fanout_singlesite,75.620000,0.120000,10391388,72.217500,0.120000,10200967,12000000.000000,24000000.000000,10905263.157895,22778947.368421
mqtt_mosquitto,192.168.0.245,1883,64,1000,10,burst,120,180,50,500,50000,fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty,50242.32,1.076,1.344,2.725,3.819,6.013,0.136,62.292,1.629,501.17,30070,3014539,0,-0.25,/home/cc/mq-bench/results/fanout_bursty_load_20260619_040551/raw_data/fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty/fanout_singlesite,75.630000,0.130000,10444866,71.880000,0.120500,10195829,29333333.333333,58666666.666667,18947368.421053,39719298.245614
mqtt_mosquitto,192.168.0.245,1883,64,1000,10,recovery,180,240,20,200,20000,fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty,20989.87,0.993,2.158,2.534,3.817,4.310,0.136,62.292,2.214,211.17,12670,1259392,0,0.60,/home/cc/mq-bench/results/fanout_bursty_load_20260619_040551/raw_data/fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty/fanout_singlesite,80.000000,0.120000,10387194,73.044000,0.120000,10219317,29333333.333333,58666666.666667,18947368.421053,40000000.000000
mqtt_mosquitto,192.168.0.245,1883,64,1000,10,burst,240,300,100,1000,100000,fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty,72030.02,1.218,8359.561,1536.674,8619.136,8645.670,0.136,16903.045,8357.521,997.00,59820,4321801,0,27.75,/home/cc/mq-bench/results/fanout_bursty_load_20260619_040551/raw_data/fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty/fanout_singlesite,102.320000,0.180000,14680064,85.843500,0.136000,11399594,40000000.000000,93333333.333333,24456140.350877,51438596.491228
mqtt_mosquitto,192.168.0.245,1883,64,1000,10,recovery,300,360,20,200,20000,fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty,49319.27,1.630,14159.473,10470.369,14643.055,14690.158,0.136,23286.776,14157.129,223.67,13420,2959156,0,-120.50,/home/cc/mq-bench/results/fanout_bursty_load_20260619_040551/raw_data/fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty/fanout_singlesite,102.470000,0.200000,16609444,101.905500,0.181500,15038153,40000000.000000,106666666.666667,38877192.982456,82807017.543860
mqtt_mosquitto,192.168.0.245,1883,64,1000,10,burst,360,420,200,2000,200000,fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty,97254.03,1.933,17735.706,13027.427,17963.380,17980.613,0.136,30903.632,17745.256,1988.67,119320,5835242,0,51.10,/home/cc/mq-bench/results/fanout_bursty_load_20260619_040551/raw_data/fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty/fanout_singlesite,116.840000,0.200000,16577987,78.477308,0.146154,12283826,80000000.000000,160000000.000000,29920000.000000,63466666.666667
mqtt_mosquitto,192.168.0.245,1883,64,1000,10,recovery,420,480,20,200,20000,fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty,23849.27,2.207,3167.753,17037.511,3382.248,3393.467,0.136,31608.275,2995.358,248.67,14920,1430956,0,4.09,/home/cc/mq-bench/results/fanout_bursty_load_20260619_040551/raw_data/fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty/fanout_singlesite,116.250000,0.280000,23068672,85.405862,0.181034,15169930,80000000.000000,160000000.000000,36666666.666667,77142857.142857
mqtt_mosquitto,192.168.0.245,1883,64,1000,10,burst,480,540,300,3000,300000,fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty,103026.95,2.525,18100.889,16770.003,18408.256,18420.764,0.136,39392.903,18180.018,2980.22,178813,6181617,0,65.43,/home/cc/mq-bench/results/fanout_bursty_load_20260619_040551/raw_data/fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty/fanout_singlesite,116.170000,0.230000,19356713,84.427931,0.153793,12951649,80000000.000000,160000000.000000,33809523.809524,72380952.380952
mqtt_mosquitto,192.168.0.245,1883,64,1000,10,recovery,540,600,50,500,50000,fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty,54373.55,2.539,3053.661,18768.811,3617.331,3622.314,0.136,41171.288,3166.188,571.02,34261,3262413,0,4.78,/home/cc/mq-bench/results/fanout_bursty_load_20260619_040551/raw_data/fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty/fanout_singlesite,119.050000,0.310000,26161971,102.148966,0.205517,17201383,80000000.000000,120000000.000000,40000000.000000,85238095.238095
mqtt_mosquitto,192.168.0.245,1883,64,1000,10,burst,600,660,500,5000,500000,fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty,94322.73,2.404,20968.983,18632.775,21336.011,21342.041,0.136,48318.382,21101.607,4970.77,298246,5659364,0,81.02,/home/cc/mq-bench/results/fanout_bursty_load_20260619_040551/raw_data/fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty/fanout_singlesite,110.620000,0.310000,25742541,90.413103,0.173103,14557417,80000000.000000,120000000.000000,39047619.047619,80476190.476190
mqtt_mosquitto,192.168.0.245,1883,64,1000,10,recovery,660,720,50,500,50000,fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty,73568.95,2.905,7156.993,20034.553,7481.250,7509.205,0.134,51506.053,7164.800,621.00,37260,4414137,0,-18.47,/home/cc/mq-bench/results/fanout_bursty_load_20260619_040551/raw_data/fanout_bursty_20260619_040613_mqtt_mosquitto_p64_s1000_u10_bursty/fanout_singlesite,110.720000,0.390000,32788972,110.100000,0.245172,20423115,80000000.000000,120000000.000000,49047619.047619,104285714.285714
mqtt_hivemq,192.168.0.245,1885,64,1000,10,warmup,720,780,20,200,20000,fanout_bursty_20260619_044610_mqtt_hivemq_p64_s1000_u10_bursty,19944.20,2.025,2.663,4.654,7.025,9.005,0.353,272.892,3.272,200.33,12020,1196652,0,0.44,/home/cc/mq-bench/results/mqtt/raw_data/fanout_bursty_20260619_044610_mqtt_hivemq_p64_s1000_u10_bursty/fanout_singlesite,303.840000,11.670000,971295949,131.529655,7.143103,594748691,11600000.000000,24000000.000000,5324904.761905,11135000.000000
mqtt_hivemq,192.168.0.245,1885,64,1000,10,baseline,780,840,20,200,20000,fanout_bursty_20260619_044610_mqtt_hivemq_p64_s1000_u10_bursty,20365.98,1.862,2.506,3.228,4.479,6.042,0.353,272.892,2.620,203.52,12211,1221959,0,-0.07,/home/cc/mq-bench/results/mqtt/raw_data/fanout_bursty_20260619_044610_mqtt_hivemq_p64_s1000_u10_bursty/fanout_singlesite,248.270000,11.780000,980942848,236.156897,11.701034,974163262,12000000.000000,24400000.000000,11119047.619048,23333333.333333
mqtt_hivemq,192.168.0.245,1885,64,1000,10,burst,840,900,50,500,50000,fanout_bursty_20260619_044610_mqtt_hivemq_p64_s1000_u10_bursty,50244.32,1.558,1.667,2.931,3.160,4.753,0.268,272.892,1.786,503.62,30217,3014659,0,0.23,/home/cc/mq-bench/results/mqtt/raw_data/fanout_bursty_20260619_044610_mqtt_hivemq_p64_s1000_u10_bursty/fanout_singlesite,297.090000,11.890000,989960602,254.422759,11.827241,984724953,28000000.000000,60000000.000000,16142857.142857,40428571.428571
mqtt_hivemq,192.168.0.245,1885,64,1000,10,recovery,900,960,20,200,20000,fanout_bursty_20260619_044610_mqtt_hivemq_p64_s1000_u10_bursty,20988.48,1.432,2.440,2.760,4.275,5.700,0.268,272.892,2.544,208.67,12520,1259309,0,-0.58,/home/cc/mq-bench/results/mqtt/raw_data/fanout_bursty_20260619_044610_mqtt_hivemq_p64_s1000_u10_bursty/fanout_singlesite,269.270000,11.910000,991218893,247.731000,11.892000,990079440,20000000.000000,60000000.000000,14022988.505747,40459770.114943
mqtt_hivemq,192.168.0.245,1885,64,1000,10,burst,960,1020,100,1000,100000,fanout_bursty_20260619_044610_mqtt_hivemq_p64_s1000_u10_bursty,100026.75,1.689,7.351,4.683,18.861,25.584,0.268,272.892,8.506,1003.67,60220,6001605,0,0.34,/home/cc/mq-bench/results/mqtt/raw_data/fanout_bursty_20260619_044610_mqtt_hivemq_p64_s1000_u10_bursty/fanout_singlesite,388.910000,11.970000,996986061,305.867241,11.921379,992520573,52000000.000000,120000000.000000,26095238.095238,66428571.428571
