timestamp,container,cpu_perc,mem_perc,mem_usage,net_rx_b,net_tx_b
1781729273,nats,2.43%,0.06%,4.855MiB / 7.754GiB,19600,36900
1781729275,nats,2.82%,0.08%,6.52MiB / 7.754GiB,39900,76900
1781729278,nats,4.19%,0.14%,10.94MiB / 7.754GiB,66600,130000
1781729280,nats,3.24%,0.14%,10.88MiB / 7.754GiB,87400,171000
1781729282,nats,2.37%,0.14%,11.39MiB / 7.754GiB,111000,217000
1781729284,nats,2.88%,0.16%,12.64MiB / 7.754GiB,135000,264000
1781729286,nats,1.97%,0.19%,15.27MiB / 7.754GiB,155000,305000
1781729288,nats,2.77%,0.19%,15.47MiB / 7.754GiB,182000,358000
1781729290,nats,2.00%,0.20%,15.83MiB / 7.754GiB,203000,399000
1781729292,nats,2.85%,0.22%,17.75MiB / 7.754GiB,229000,452000
1781729294,nats,1.89%,0.26%,20.3MiB / 7.754GiB,250000,493000
1781729296,nats,2.73%,0.26%,20.67MiB / 7.754GiB,277000,546000
1781729298,nats,2.81%,0.26%,20.79MiB / 7.754GiB,298000,588000
1781729301,nats,3.09%,0.26%,20.8MiB / 7.754GiB,324000,640000
1781729303,nats,2.98%,0.28%,22.36MiB / 7.754GiB,345000,681000
1781729305,nats,2.23%,0.30%,24.09MiB / 7.754GiB,366000,722000
1781729307,nats,2.95%,0.33%,25.97MiB / 7.754GiB,392000,775000
1781729309,nats,1.80%,0.37%,29.43MiB / 7.754GiB,413000,816000
1781729311,nats,2.92%,0.37%,29.56MiB / 7.754GiB,440000,869000
1781729313,nats,1.73%,0.37%,29.67MiB / 7.754GiB,461000,910000
1781729315,nats,2.74%,0.37%,29.62MiB / 7.754GiB,487000,963000
1781729317,nats,2.77%,0.38%,29.98MiB / 7.754GiB,508000,1000000
1781729319,nats,2.80%,0.38%,30.28MiB / 7.754GiB,535000,1060000
1781729322,nats,3.03%,0.40%,31.71MiB / 7.754GiB,555000,1100000
1781729324,nats,2.19%,0.42%,33.67MiB / 7.754GiB,576000,1140000
1781729326,nats,3.12%,0.45%,35.54MiB / 7.754GiB,603000,1190000
1781729328,nats,2.04%,0.47%,37.43MiB / 7.754GiB,623000,1230000
1781729330,nats,3.16%,0.50%,39.37MiB / 7.754GiB,650000,1290000
1781729332,nats,6.74%,0.57%,45.25MiB / 7.754GiB,671000,1330000
1781729334,nats,385.93%,2.72%,216.3MiB / 7.754GiB,12600000,814000000
1781729336,nats,395.03%,3.38%,268MiB / 7.754GiB,37700000,3000000000
1781729338,nats,394.39%,3.56%,282.3MiB / 7.754GiB,62800000,5190000000
1781729340,nats,394.44%,3.45%,273.8MiB / 7.754GiB,88900000,7280000000
1781729342,nats,391.94%,3.29%,261.6MiB / 7.754GiB,115000000,9390000000
1781729344,nats,386.66%,3.26%,258.7MiB / 7.754GiB,142000000,11500000000
1781729347,nats,397.78%,3.15%,249.9MiB / 7.754GiB,169000000,13600000000
1781729349,nats,394.82%,3.07%,244.1MiB / 7.754GiB,195000000,15700000000
1781729351,nats,396.95%,2.93%,233MiB / 7.754GiB,222000000,17800000000
1781729353,nats,394.06%,2.88%,229MiB / 7.754GiB,249000000,19900000000
1781729355,nats,390.31%,2.89%,229.5MiB / 7.754GiB,277000000,22000000000
1781729357,nats,392.45%,2.99%,237.1MiB / 7.754GiB,303000000,24100000000
1781729359,nats,396.46%,2.72%,215.7MiB / 7.754GiB,331000000,26200000000
1781729361,nats,395.06%,2.79%,221.6MiB / 7.754GiB,358000000,28200000000
1781729363,nats,393.33%,2.77%,220.3MiB / 7.754GiB,385000000,30400000000
1781729365,nats,396.80%,2.92%,231.9MiB / 7.754GiB,411000000,32500000000
1781729367,nats,386.94%,3.15%,250.1MiB / 7.754GiB,437000000,34600000000
1781729369,nats,396.40%,3.05%,242.2MiB / 7.754GiB,463000000,36700000000
1781729371,nats,393.88%,3.05%,242.2MiB / 7.754GiB,489000000,38800000000
1781729374,nats,396.38%,3.13%,248.7MiB / 7.754GiB,516000000,40900000000
1781729376,nats,394.00%,3.00%,238MiB / 7.754GiB,543000000,43000000000
1781729378,nats,395.82%,2.85%,226.2MiB / 7.754GiB,570000000,45000000000
1781729380,nats,396.60%,2.99%,237.7MiB / 7.754GiB,596000000,47100000000
1781729382,nats,396.07%,2.84%,225.1MiB / 7.754GiB,622000000,49200000000
1781729384,nats,395.32%,2.90%,230.5MiB / 7.754GiB,649000000,51300000000
1781729386,nats,396.45%,2.84%,225.4MiB / 7.754GiB,676000000,53400000000
1781729388,nats,392.64%,3.05%,241.9MiB / 7.754GiB,701000000,55500000000
1781729390,nats,393.83%,3.02%,239.9MiB / 7.754GiB,728000000,57600000000
1781729392,nats,391.97%,2.94%,233.4MiB / 7.754GiB,754000000,59700000000
1781729394,nats,267.78%,2.97%,235.8MiB / 7.754GiB,773000000,60700000000
1781729396,nats,272.91%,2.98%,236.4MiB / 7.754GiB,787000000,60700000000
1781729398,nats,268.95%,2.97%,235.9MiB / 7.754GiB,801000000,60700000000
1781729401,nats,270.11%,2.98%,236.3MiB / 7.754GiB,815000000,60800000000
1781729403,nats,265.73%,2.98%,236.4MiB / 7.754GiB,828000000,60800000000
1781729405,nats,275.99%,2.97%,236MiB / 7.754GiB,841000000,60800000000
1781729407,nats,269.44%,2.98%,236.3MiB / 7.754GiB,854000000,60900000000
1781729409,nats,257.88%,2.98%,236.4MiB / 7.754GiB,866000000,60900000000
1781729411,nats,264.55%,2.81%,223MiB / 7.754GiB,879000000,60900000000
1781729413,nats,266.86%,2.81%,223.3MiB / 7.754GiB,891000000,61000000000
1781729415,nats,263.55%,2.80%,222.7MiB / 7.754GiB,902000000,61000000000
1781729417,nats,256.10%,2.08%,165.1MiB / 7.754GiB,914000000,61000000000
1781729419,nats,261.41%,1.68%,133MiB / 7.754GiB,925000000,61100000000
1781729421,nats,259.36%,1.68%,133.3MiB / 7.754GiB,937000000,61100000000
1781729423,nats,266.44%,1.71%,136.1MiB / 7.754GiB,948000000,61100000000
1781729426,nats,256.38%,1.72%,136.4MiB / 7.754GiB,958000000,61200000000
1781729428,nats,259.25%,1.72%,136.5MiB / 7.754GiB,969000000,61200000000
1781729430,nats,265.44%,1.73%,137.3MiB / 7.754GiB,979000000,61200000000
1781729432,nats,268.14%,1.73%,137.2MiB / 7.754GiB,989000000,61300000000
1781729434,nats,263.17%,1.73%,137.3MiB / 7.754GiB,999000000,61300000000
1781729436,nats,266.18%,1.73%,137.6MiB / 7.754GiB,1010000000,61300000000
1781729438,nats,273.40%,1.75%,139MiB / 7.754GiB,1020000000,61300000000
1781729440,nats,272.84%,1.75%,138.9MiB / 7.754GiB,1030000000,61400000000
1781729442,nats,270.70%,1.75%,139MiB / 7.754GiB,1040000000,61400000000
1781729444,nats,271.26%,1.75%,139.1MiB / 7.754GiB,1040000000,61400000000
1781729446,nats,275.42%,1.75%,139.1MiB / 7.754GiB,1050000000,61500000000
1781729449,nats,272.63%,1.76%,139.4MiB / 7.754GiB,1060000000,61500000000
1781729451,nats,273.31%,1.76%,139.7MiB / 7.754GiB,1070000000,61500000000
1781729453,nats,269.35%,1.76%,139.7MiB / 7.754GiB,1080000000,61600000000
