transport,run_id,time_s,phase,phase_time_s,target_throughput_msg_s,delivery_throughput_msg_s,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_latency_ms,cpu_cores,memory_gb,network_rx_gbps,network_tx_gbps
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,0,baseline,0,100000,96803.47,1.446202,4.509058,18.932736,2.03595,1.1632,0.071572,0.007733,0.016
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,1,baseline,1,100000,100012.77,1.283239,2.911521,3.824638,1.436346,1.1632,0.071572,0.007733,0.016
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,2,baseline,2,100000,99933.76,1.434318,4.525191,14.517475,1.941059,1.1632,0.071572,0.007733,0.016
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,3,baseline,3,100000,99960.97,1.363945,3.027509,3.981614,1.519871,1.1718,0.071016,0.0116,0.028
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,4,baseline,4,100000,100045.1,1.37393,3.380527,7.062649,1.639873,1.1718,0.071016,0.0116,0.028
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,5,baseline,5,100000,100051.34,1.361303,3.094451,4.006554,1.527836,1.1731,0.071396,0.0116,0.024
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,6,baseline,6,100000,99942.56,1.378028,3.272154,4.30531,1.569073,1.1731,0.071396,0.0116,0.024
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,7,baseline,7,100000,100064.45,1.414225,3.547256,8.000924,1.7117,1.1847,0.07127,0.0116,0.028
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,8,baseline,8,100000,99960.1,1.324067,3.059611,3.972887,1.495387,1.1847,0.07127,0.0116,0.028
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,9,baseline,9,100000,99910.56,1.324614,3.063406,6.85143,1.560808,1.1784,0.071377,0.0112,0.024
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,10,baseline,10,100000,99968.06,1.356546,3.174987,4.617821,1.548938,1.1784,0.071377,0.0112,0.024
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,11,baseline,11,100000,99709.03,1.366484,3.225077,5.225793,1.570186,1.1629,0.071689,0.0116,0.024
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,12,baseline,12,100000,100385.79,1.348913,3.410612,6.841427,1.6184,1.1629,0.071689,0.0116,0.024
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,13,baseline,13,100000,100037.91,1.357309,2.980559,3.856938,1.504626,1.1316,0.071221,0.0116,0.028
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,14,baseline,14,100000,99958.54,1.42422,3.968585,9.745058,1.802162,1.1316,0.071221,0.0116,0.028
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,15,baseline,15,100000,100007.81,1.371284,3.144023,4.732551,1.54732,1.1621,0.071602,0.0112,0.024
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,16,baseline,16,100000,100008.34,1.34103,3.539966,7.520623,1.652819,1.1621,0.071602,0.0112,0.024
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,17,baseline,17,100000,100021.4,1.345221,3.103647,4.734639,1.525676,1.1621,0.071602,0.0112,0.024
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,18,baseline,18,100000,100050.51,1.423588,3.405875,4.77091,1.624671,1.1065,0.071152,0.007733,0.018667
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,19,baseline,19,100000,99986.11,1.376303,3.379607,5.57401,1.61449,1.1065,0.071152,0.007733,0.018667
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,20,baseline,20,100000,100001.14,1.38373,2.976767,3.991551,1.523358,1.1318,0.07127,0.0116,0.024
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,21,baseline,21,100000,99790.08,1.408482,3.258639,8.448812,1.706856,1.1318,0.07127,0.0116,0.024
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,22,baseline,22,100000,100149.4,1.352139,3.029353,4.045825,1.506462,1.1228,0.071357,0.0112,0.024
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,23,baseline,23,100000,100021.13,1.391032,3.312276,6.757566,1.636716,1.1228,0.071357,0.0112,0.024
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,24,baseline,24,100000,99955.43,1.362771,3.309396,4.734675,1.575269,1.1348,0.071152,0.0116,0.028
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,25,baseline,25,100000,99972.04,1.381756,3.518514,5.041967,1.602607,1.1348,0.071152,0.0116,0.028
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,26,baseline,26,100000,100092.36,1.348586,3.186371,6.283763,1.575324,2.7704,0.07167,0.0316,0.072
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,27,baseline,27,100000,99963.69,1.361488,3.401485,6.555357,1.652133,2.7704,0.07167,0.0316,0.072
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,28,baseline,28,100000,100045.38,1.317814,3.461157,7.162391,1.598654,2.61,0.072119,0.056,0.124
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,29,baseline,29,100000,99942.24,1.342675,3.006366,4.168495,1.498763,2.61,0.072119,0.056,0.124
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,30,baseline,30,100000,99950.2,1.388152,3.440825,8.066741,1.67585,2.6968,0.071992,0.056,0.128
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,31,baseline,31,100000,100077.16,1.389617,3.159363,4.754073,1.569933,2.6968,0.071992,0.056,0.128
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,32,baseline,32,100000,100023.11,1.363838,3.084817,4.45502,1.522519,2.6388,0.072363,0.052,0.128
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,33,baseline,33,100000,99986.67,1.376274,3.349808,8.131417,1.682322,2.6388,0.072363,0.052,0.128
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,34,baseline,34,100000,99958.19,1.378909,3.219829,4.699316,1.569362,2.6388,0.072363,0.052,0.128
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,35,baseline,35,100000,100064.43,1.366739,3.359519,6.038993,1.616233,2.6569,0.072607,0.037333,0.082667
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,36,baseline,36,100000,99994.04,1.341883,3.287211,4.602753,1.542043,2.6569,0.072607,0.037333,0.082667
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,37,baseline,37,100000,99937.52,1.365656,3.648222,9.459553,1.726265,2.6669,0.074023,0.052,0.128
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,38,baseline,38,100000,100031.39,1.324594,3.129944,4.661326,1.512794,2.6669,0.074023,0.052,0.128
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,39,baseline,39,100000,99720.49,1.406282,3.605187,6.310699,1.665079,2.7302,0.074189,0.052,0.128
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,40,baseline,40,100000,100242.03,1.368526,3.854398,8.95018,1.75451,2.7302,0.074189,0.052,0.128
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,41,baseline,41,100000,99887.02,1.392936,3.358343,5.431326,1.609187,2.6605,0.074307,0.048,0.124
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,42,baseline,42,100000,100118.3,1.323963,3.447338,8.376631,1.631052,2.6605,0.074307,0.048,0.124
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,43,baseline,43,100000,99951.68,1.34593,2.949396,4.242862,1.507274,2.6593,0.074219,0.048,0.128
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,44,baseline,44,100000,100093.98,1.366629,3.211899,5.848354,1.601819,2.6593,0.074219,0.048,0.128
nats,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,45,baseline,45,100000,100021.84,1.319469,2.963109,4.150298,1.474499,2.6847,0.074482,0.048,0.124
