transport,host,port,payload,subs,pubs,phase,phase_start_s,phase_end_s,rate_per_pub,rate,delivery_rate,run_id,sub_tps,p25_ms,p50_ms,p75_ms,p95_ms,p99_ms,min_ms,max_ms,avg_latency_ms,pub_tps,sent,recv,errors,loss_pct,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes,avg_cpu_perc,avg_mem_perc,avg_mem_used_bytes,max_net_rx_bps,max_net_tx_bps,avg_net_rx_bps,avg_net_tx_bps
nats,192.168.0.245,4222,64,1000,10,warmup,0,60,20,200,20000,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,21613.27,0.798,1.143,1.428,2.130,4.503,0.209,46.268,1.243,217.17,13030,1296796,0,0.48,results/nats/raw_data/fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty/fanout_singlesite,127.310000,0.920000,76567020,65.393571,0.675000,56203299,11600000.000000,26800000.000000,6407111.111111,14355160.493827
nats,192.168.0.245,4222,64,1000,10,baseline,60,120,100,1000,100000,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,115688.67,0.881,1.358,1.738,3.246,6.219,0.163,46.268,1.589,1167.33,70040,6941320,0,0.89,results/nats/raw_data/fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty/fanout_singlesite,277.040000,0.980000,81830871,204.136207,0.942759,78477959,56000000.000000,128000000.000000,32314285.714286,81666666.666667
nats,192.168.0.245,4222,64,1000,10,burst,120,180,1000,10000,1000000,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,1001727.37,1.006,1.356,1.780,2.877,5.554,0.163,46.268,1.545,10017.33,601040,60103642,0,0.00,results/nats/raw_data/fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty/fanout_singlesite,285.970000,1.000000,83445678,275.022000,0.994333,82722161,40000000.000000,760000000.000000,36919540.229885,485471264.367816
nats,192.168.0.245,4222,64,1000,10,recovery,180,240,100,1000,100000,fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty,132234.47,1.014,1.214,1.768,3.103,6.409,0.163,46.268,1.465,1334.00,80040,7934068,0,0.87,results/nats/raw_data/fanout_bursty_20260616_201156_nats_p64_s1000_u10_bursty/fanout_singlesite,280.220000,1.020000,84787855,270.969655,1.008621,84024926,40000000.000000,800000000.000000,32476190.476190,388095238.095238
nats,192.168.0.245,4222,64,1000,10,burst,960,1020,8000,80000,8000000,fanout_bursty_20260617_190733_nats_p64_s1000_u10_bursty,7998810.15,3.925,6.253,7.862,26.332,42.299,0.210,397.410,8.888,79989.17,4799350,479928609,0,0.00,/home/cc/projects/mq-bench/results/nats/raw_data/fanout_bursty_20260617_190733_nats_p64_s1000_u10_bursty/fanout_singlesite,395.160000,2.030000,169345024,209.916552,1.047931,87240438,122000000.000000,6000000000.000000,62704904.761905,3047982761.904762
nats,192.168.0.245,4222,64,1000,10,recovery,1020,1080,100,1000,100000,fanout_bursty_20260617_190733_nats_p64_s1000_u10_bursty,108999.65,4.321,1.560,8.734,3.703,6.293,0.164,397.410,1.800,1000.33,60020,6539979,0,-8.96,/home/cc/projects/mq-bench/results/nats/raw_data/fanout_bursty_20260617_190733_nats_p64_s1000_u10_bursty/fanout_singlesite,397.750000,1.570000,130967142,321.192069,1.442069,120163194,116000000.000000,6000000000.000000,73714285.714286,2500000000.000000
nats,192.168.0.245,4222,64,1000,10,burst,1080,1140,9000,90000,9000000,fanout_bursty_20260617_191512_nats_p64_s1000_u10_bursty,8994964.95,4.698,6.960,12.004,32.671,52.172,0.182,483.131,10.477,89950.75,5397045,539697897,0,0.00,/home/cc/projects/mq-bench/results/nats/raw_data/fanout_bursty_20260617_191512_nats_p64_s1000_u10_bursty/fanout_singlesite,400.220000,2.350000,195244851,220.076552,1.200000,99916638,120000000.000000,6520000000.000000,62180952.380952,3438935000.000000
nats,192.168.0.245,4222,64,1000,10,recovery,1140,1200,100,1000,100000,fanout_bursty_20260617_191512_nats_p64_s1000_u10_bursty,110053.83,4.693,1.384,11.040,3.080,5.227,0.169,483.131,1.557,1000.27,60016,6603230,0,-10.02,/home/cc/projects/mq-bench/results/nats/raw_data/fanout_bursty_20260617_191512_nats_p64_s1000_u10_bursty/fanout_singlesite,399.350000,1.920000,159593267,322.063793,1.642069,136756005,120000000.000000,6400000000.000000,75619047.619048,2780952380.952381
nats,192.168.0.245,4222,64,1000,10,burst,1200,1260,10000,100000,10000000,fanout_bursty_20260617_192413_nats_p64_s1000_u10_bursty,9998616.67,6.656,9.789,20.294,45.253,66.686,0.194,335.020,14.934,99987.17,5999230,599917000,0,0.00,/home/cc/projects/mq-bench/results/nats/raw_data/fanout_bursty_20260617_192413_nats_p64_s1000_u10_bursty/fanout_singlesite,397.270000,2.140000,177943347,216.549655,1.243793,103564597,124000000.000000,7200000000.000000,60610523.809524,3785603380.952381
nats,192.168.0.245,4222,64,1000,10,recovery,1260,1320,100,1000,100000,fanout_bursty_20260617_192413_nats_p64_s1000_u10_bursty,113625.63,6.246,1.011,18.042,2.422,4.869,0.156,335.020,1.186,1000.32,60019,6817538,0,-13.59,/home/cc/projects/mq-bench/results/nats/raw_data/fanout_bursty_20260617_192413_nats_p64_s1000_u10_bursty/fanout_singlesite,396.140000,1.960000,163263283,322.603793,1.696552,141319119,116000000.000000,7200000000.000000,74809523.809524,3014285714.285714
nats,192.168.0.245,4222,64,1000,10,burst,1320,1380,11000,110000,11000000,fanout_bursty_20260617_203418_nats_p64_s1000_u10_bursty,10993728.23,10.701,15.897,37.329,62.714,87.312,0.182,490.734,22.273,109928.15,6595689,659623694,0,-0.01,/home/cc/projects/mq-bench/results/nats/raw_data/fanout_bursty_20260617_203418_nats_p64_s1000_u10_bursty/fanout_singlesite,399.040000,3.060000,254489395,219.324138,1.599310,133088159,112000000.000000,8020000000.000000,58993571.428571,4148283428.571429
nats,192.168.0.245,4222,64,1000,10,recovery,1380,1440,100,1000,100000,fanout_bursty_20260617_203418_nats_p64_s1000_u10_bursty,132510.97,9.145,1.297,27.204,3.337,5.807,0.165,490.734,1.541,2100.20,126012,7950658,0,36.91,/home/cc/projects/mq-bench/results/nats/raw_data/fanout_bursty_20260617_203418_nats_p64_s1000_u10_bursty/fanout_singlesite,398.220000,2.450000,204157747,325.372667,2.233000,185950973,120000000.000000,8000000000.000000,78476190.476190,3642857142.857143
nats,192.168.0.245,4222,64,1000,10,burst,1440,1500,12000,120000,12000000,fanout_bursty_20260617_204724_nats_p64_s1000_u10_bursty,11998320.85,22.935,35.527,80.859,104.525,134.133,0.178,709.362,43.563,119984.23,7199054,719899251,0,0.00,/home/cc/projects/mq-bench/results/nats/raw_data/fanout_bursty_20260617_204724_nats_p64_s1000_u10_bursty/fanout_singlesite,397.780000,3.560000,296013005,218.427586,1.867241,155488635,112000000.000000,8800000000.000000,57371619.047619,4542744523.809524
nats,192.168.0.245,4222,64,1000,10,recovery,1500,1560,100,1000,100000,fanout_bursty_20260617_204724_nats_p64_s1000_u10_bursty,115327.63,15.936,1.236,53.164,2.991,4.991,0.170,709.362,1.435,998.63,59918,6919658,0,-15.49,/home/cc/projects/mq-bench/results/nats/raw_data/fanout_bursty_20260617_204724_nats_p64_s1000_u10_bursty/fanout_singlesite,396.600000,3.150000,262248858,323.094483,2.755517,229374192,108000000.000000,8400000000.000000,72000000.000000,3690476190.476190
redis,192.168.0.245,6379,64,1000,10,warmup,0,60,20,200,20000,fanout_bursty_20260626_220241_redis_p64_s1000_u10_bursty,19940.53,2.784,3.563,4.371,5.707,6.559,1.082,31.621,3.657,200.30,12018,1196432,0,0.45,artifacts/fanout_bursty_20260626_220241_redis_p64_s1000_u10_bursty/fanout_singlesite,69.530000,0.110000,9547284,19.234828,0.091034,7674781,12000000.000000,28800000.000000,2950047.619048,7146709.523810
redis,192.168.0.245,6379,64,1000,10,baseline,60,120,20,200,20000,fanout_bursty_20260626_220241_redis_p64_s1000_u10_bursty,20366.32,2.798,3.585,4.381,5.584,6.200,1.082,31.621,3.651,203.52,12211,1221979,0,-0.07,artifacts/fanout_bursty_20260626_220241_redis_p64_s1000_u10_bursty/fanout_singlesite,75.530000,0.110000,9372172,70.519286,0.107143,8828411,12000000.000000,32000000.000000,11017283.950617,27116049.382716
redis,192.168.0.245,6379,64,1000,10,burst,120,180,50,500,50000,fanout_bursty_20260626_220241_redis_p64_s1000_u10_bursty,50239.42,2.403,2.568,4.056,4.314,5.148,1.082,31.621,2.697,503.65,30219,3014365,0,0.25,artifacts/fanout_bursty_20260626_220241_redis_p64_s1000_u10_bursty/fanout_singlesite,70.790000,0.110000,8867807,69.117931,0.108276,8771483,28000000.000000,72000000.000000,15523809.523810,38476190.476190
redis,192.168.0.245,6379,64,1000,10,recovery,180,240,20,200,20000,fanout_bursty_20260626_220241_redis_p64_s1000_u10_bursty,20993.52,2.273,3.617,3.897,5.431,6.109,0.384,31.621,3.637,208.67,12520,1259611,0,-0.61,artifacts/fanout_bursty_20260626_220241_redis_p64_s1000_u10_bursty/fanout_singlesite,72.130000,0.110000,8835301,69.987241,0.107931,8777666,32000000.000000,72000000.000000,23333333.333333,57761904.761905
zenoh,192.168.0.245,7447,64,1000,10,warmup,0,60,20,200,20000,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,21599.23,1.255,2.435,2.899,4.403,4.865,0.223,21.496,2.479,217.17,13030,1295954,0,0.54,results/zenoh/raw_data/fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty/fanout_singlesite,86.380000,0.700000,58080625,52.331000,0.603667,50294249,11600000.000000,28400000.000000,6847080.459770,16532183.908046
zenoh,192.168.0.245,7447,64,1000,10,baseline,60,120,100,1000,100000,fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty,115589.83,2.164,6.902,7.808,13.910,14.867,0.164,21.496,7.305,1167.33,70040,6935390,0,0.98,results/zenoh/raw_data/fanout_bursty_20260616_034111_zenoh_p64_s1000_u10_bursty/fanout_singlesite,152.390000,0.800000,66532147,115.130000,0.741724,61805600,24000000.000000,128000000.000000,17414285.714286,81571428.571429
