timestamp,container,cpu_perc,mem_perc,mem_usage,net_rx_b,net_tx_b
1782774487,nats,0.46%,0.11%,8.801MiB / 7.754GiB,62100,121000
1782774490,nats,1.21%,0.14%,10.88MiB / 7.754GiB,69300,135000
1782774492,nats,0.08%,0.13%,10.66MiB / 7.754GiB,69300,135000
1782774494,nats,10.52%,0.16%,12.93MiB / 7.754GiB,130000,256000
1782774496,nats,4.29%,0.16%,12.83MiB / 7.754GiB,137000,269000
1782774498,nats,0.08%,0.16%,12.84MiB / 7.754GiB,137000,269000
1782774500,nats,12.39%,0.19%,15.01MiB / 7.754GiB,198000,390000
1782774502,nats,4.32%,0.19%,15.26MiB / 7.754GiB,205000,404000
1782774504,nats,0.14%,0.19%,15.26MiB / 7.754GiB,205000,404000
1782774506,nats,6.96%,0.24%,19.23MiB / 7.754GiB,245000,483000
1782774508,nats,1.59%,0.24%,19.05MiB / 7.754GiB,268000,529000
1782774510,nats,0.08%,0.25%,19.51MiB / 7.754GiB,273000,538000
1782774513,nats,0.07%,0.25%,19.51MiB / 7.754GiB,273000,538000
1782774515,nats,0.12%,0.27%,21.82MiB / 7.754GiB,333000,659000
1782774517,nats,0.15%,0.28%,21.86MiB / 7.754GiB,341000,673000
1782774519,nats,0.05%,0.28%,21.87MiB / 7.754GiB,341000,673000
1782774521,nats,0.06%,0.37%,29.69MiB / 7.754GiB,401000,793000
1782774523,nats,0.33%,0.37%,29.7MiB / 7.754GiB,408000,807000
1782774525,nats,0.09%,0.37%,29.7MiB / 7.754GiB,408000,807000
1782774527,nats,4.88%,0.38%,30.07MiB / 7.754GiB,469000,928000
1782774529,nats,2.91%,0.38%,30.06MiB / 7.754GiB,476000,941000
1782774531,nats,0.08%,0.38%,30.07MiB / 7.754GiB,476000,941000
1782774533,nats,9.54%,0.40%,31.75MiB / 7.754GiB,537000,1060000
1782774536,nats,4.15%,0.40%,31.71MiB / 7.754GiB,544000,1080000
1782774538,nats,0.07%,0.40%,31.71MiB / 7.754GiB,544000,1080000
1782774540,nats,10.87%,0.47%,37.02MiB / 7.754GiB,605000,1200000
1782774542,nats,2.72%,0.47%,37.05MiB / 7.754GiB,610000,1210000
1782774544,nats,0.08%,0.47%,37.07MiB / 7.754GiB,612000,1210000
1782774546,nats,0.56%,0.47%,37.58MiB / 7.754GiB,614000,1210000
1782774548,nats,81.41%,0.69%,54.61MiB / 7.754GiB,1630000,3600000
1782774550,nats,103.47%,0.71%,56.28MiB / 7.754GiB,4530000,10000000
1782774552,nats,89.32%,0.74%,58.49MiB / 7.754GiB,7410000,16500000
1782774555,nats,84.93%,0.76%,60.51MiB / 7.754GiB,10300000,22900000
1782774557,nats,79.30%,0.79%,62.58MiB / 7.754GiB,13100000,29200000
1782774559,nats,93.14%,0.90%,71.24MiB / 7.754GiB,16000000,35600000
1782774561,nats,67.85%,0.90%,71.86MiB / 7.754GiB,18900000,42100000
1782774563,nats,98.16%,0.90%,71.46MiB / 7.754GiB,21700000,48400000
1782774565,nats,64.10%,0.90%,71.46MiB / 7.754GiB,24600000,54800000
1782774567,nats,73.19%,0.91%,71.96MiB / 7.754GiB,27400000,61200000
1782774569,nats,81.55%,0.92%,72.89MiB / 7.754GiB,30300000,67600000
1782774572,nats,84.24%,0.91%,72.42MiB / 7.754GiB,33200000,74000000
1782774574,nats,107.28%,0.92%,72.7MiB / 7.754GiB,36000000,80300000
1782774576,nats,113.76%,0.91%,72.61MiB / 7.754GiB,38900000,86800000
1782774578,nats,115.64%,0.91%,72.65MiB / 7.754GiB,41800000,93300000
1782774580,nats,115.46%,0.92%,72.79MiB / 7.754GiB,44700000,99700000
1782774582,nats,109.28%,0.92%,73.07MiB / 7.754GiB,47600000,106000000
1782774584,nats,106.07%,0.92%,72.95MiB / 7.754GiB,50500000,113000000
1782774586,nats,117.28%,0.92%,72.73MiB / 7.754GiB,53400000,119000000
1782774589,nats,116.97%,0.92%,72.83MiB / 7.754GiB,56300000,126000000
1782774591,nats,122.53%,0.92%,73.25MiB / 7.754GiB,59200000,132000000
1782774593,nats,81.12%,0.92%,72.94MiB / 7.754GiB,62100000,139000000
1782774595,nats,118.45%,0.92%,73.11MiB / 7.754GiB,64900000,145000000
1782774597,nats,112.87%,0.92%,73.43MiB / 7.754GiB,67900000,152000000
1782774599,nats,117.31%,0.92%,73.36MiB / 7.754GiB,70800000,158000000
1782774602,nats,119.31%,0.92%,73.14MiB / 7.754GiB,73700000,164000000
1782774604,nats,112.16%,0.92%,73.07MiB / 7.754GiB,76500000,171000000
1782774606,nats,114.17%,0.92%,73.11MiB / 7.754GiB,79400000,177000000
1782774608,nats,116.05%,0.93%,73.52MiB / 7.754GiB,82300000,184000000
1782774610,nats,97.47%,0.92%,73.09MiB / 7.754GiB,85200000,190000000
1782774612,nats,113.25%,0.92%,73.21MiB / 7.754GiB,88100000,197000000
1782774614,nats,116.06%,0.92%,72.95MiB / 7.754GiB,90900000,203000000
1782774616,nats,119.26%,0.93%,73.86MiB / 7.754GiB,93800000,209000000
1782774618,nats,113.41%,0.93%,73.62MiB / 7.754GiB,96700000,216000000
1782774621,nats,111.27%,0.93%,73.84MiB / 7.754GiB,99500000,222000000
1782774623,nats,122.11%,0.92%,73.29MiB / 7.754GiB,102000000,229000000
1782774625,nats,120.93%,0.93%,73.88MiB / 7.754GiB,105000000,235000000
1782774627,nats,113.25%,0.93%,73.5MiB / 7.754GiB,108000000,241000000
1782774629,nats,116.82%,0.93%,73.63MiB / 7.754GiB,111000000,248000000
1782774631,nats,106.07%,0.93%,73.51MiB / 7.754GiB,114000000,254000000
1782774633,nats,60.32%,0.93%,73.5MiB / 7.754GiB,117000000,260000000
1782774635,nats,108.36%,0.93%,73.63MiB / 7.754GiB,120000000,267000000
