transport,host,port,payload,subs,pubs,phase,phase_start_s,phase_end_s,rate_per_pub,rate,delivery_rate,run_id,sub_tps,p25_ms,p50_ms,p75_ms,p95_ms,p99_ms,min_ms,max_ms,avg_latency_ms,pub_tps,sent,recv,errors,loss_pct,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes,avg_cpu_perc,avg_mem_perc,avg_mem_used_bytes,max_net_rx_bps,max_net_tx_bps,avg_net_rx_bps,avg_net_tx_bps
zenoh,192.168.0.245,7447,1024,1000,10,warmup,0,60,5,50,50000,fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty,51332.87,17.616,31.001,46.054,54.469,62.203,0.516,116.195,29.580,51.33,3080,3079972,0,0.00,/home/cc/mq-bench/results/fanout_bursty_load_20260610_210859/raw_data/fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty/fanout_singlesite,60.720000,0.950000,78727086,37.627241,0.812759,67699321,6000000.000000,480000000.000000,3891904.761905,320419523.809524
zenoh,192.168.0.245,7447,1024,1000,10,baseline,60,120,5,50,50000,fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty,53900.15,16.174,31.875,42.640,59.299,67.785,0.485,120.521,30.694,54.00,3240,3234009,0,0.18,/home/cc/mq-bench/results/fanout_bursty_load_20260610_210859/raw_data/fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty/fanout_singlesite,60.120000,1.110000,92085944,48.045517,1.040690,86612739,6400000.000000,520000000.000000,5161904.761905,435238095.238095
zenoh,192.168.0.245,7447,1024,1000,10,burst,120,240,20,200,200000,fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty,200750.00,10.392,15.455,28.736,27.932,33.266,0.349,120.521,15.244,200.75,24090,24090000,0,0.00,/home/cc/mq-bench/results/fanout_bursty_load_20260610_210859/raw_data/fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty/fanout_singlesite,146.050000,1.420000,118069658,118.532105,1.313509,109397934,28000000.000000,2000000000.000000,20021428.571429,1576666666.666667
zenoh,192.168.0.245,7447,1024,1000,10,recovery,240,330,5,50,50000,fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty,55791.28,9.561,32.036,24.587,62.164,73.327,0.323,225.313,31.304,55.96,5036,5021215,0,0.29,/home/cc/mq-bench/results/fanout_bursty_load_20260610_210859/raw_data/fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty/fanout_singlesite,136.850000,1.430000,119013376,64.918605,1.404884,116891839,24000000.000000,2000000000.000000,7936507.936508,673015873.015873
zenoh,192.168.0.245,7447,1024,1000,10,burst,330,450,50,500,500000,fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty,500708.33,9.058,18.302,27.096,41.459,48.643,0.243,343.409,19.469,500.71,60085,60085000,0,0.00,/home/cc/mq-bench/results/fanout_bursty_load_20260610_210859/raw_data/fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty/fanout_singlesite,226.460000,2.040000,169449882,171.330862,1.925517,160358005,36000000.000000,4800000000.000000,29076023.391813,3836257309.941520
zenoh,192.168.0.245,7447,1024,1000,10,recovery,450,540,5,50,50000,fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty,60802.49,8.763,42.067,28.136,80.389,98.854,0.243,370.934,41.576,61.48,5533,5472224,0,1.10,/home/cc/mq-bench/results/fanout_bursty_load_20260610_210859/raw_data/fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty/fanout_singlesite,212.080000,2.030000,169135309,76.044091,2.022500,168427520,36000000.000000,4400000000.000000,10170542.635659,1172093023.255814
zenoh,192.168.0.245,7447,1024,1000,10,burst,540,660,100,1000,1000000,fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty,1000617.69,11.010,56.390,45.428,171.566,209.849,0.243,1629.487,68.307,1000.70,120084,120074123,0,0.01,/home/cc/mq-bench/results/fanout_bursty_load_20260610_210859/raw_data/fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty/fanout_singlesite,289.310000,2.210000,184339661,232.675000,2.165000,180313491,80000000.000000,12000000000.000000,36982456.140351,7508771929.824561
zenoh,192.168.0.245,7447,1024,1000,10,recovery,660,750,5,50,50000,fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty,64058.72,11.863,49.356,57.706,125.017,159.641,0.243,1629.487,55.416,67.08,6037,5765285,0,4.50,/home/cc/mq-bench/results/fanout_bursty_load_20260610_210859/raw_data/fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty/fanout_singlesite,278.160000,2.190000,182452224,89.101628,2.180930,181486559,40000000.000000,12000000000.000000,11111111.111111,1904761904.761905
zenoh,192.168.0.245,7447,1024,1000,10,burst,750,870,150,1500,1500000,fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty,1092830.43,16.416,4677.070,527.810,16354.644,17313.812,0.243,34997.273,6395.475,1500.73,180088,131139652,0,27.18,/home/cc/mq-bench/results/fanout_bursty_load_20260610_210859/raw_data/fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty/fanout_singlesite,298.010000,2.350000,195769139,248.240000,2.272586,189204692,80000000.000000,12000000000.000000,37894736.842105,8304093567.251462
zenoh,192.168.0.245,7447,1024,1000,10,recovery,870,990,5,50,50000,fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty,133041.45,21.139,9382.100,2390.011,17740.596,17858.792,0.243,34997.273,9933.428,50.17,6020,15964974,0,-165.20,/home/cc/mq-bench/results/fanout_bursty_load_20260610_210859/raw_data/fanout_bursty_20260610_210921_zenoh_p1024_s1000_u10_bursty/fanout_singlesite,286.760000,2.330000,194091418,101.577414,2.209310,183988930,80000000.000000,12000000000.000000,12865497.076023,2315789473.684210
