timestamp,container,cpu_perc,mem_perc,mem_usage,net_rx_b,net_tx_b
1781221065,router1,2.65%,0.04%,3.543MiB / 7.754GiB,17000,13100
1781221067,router1,3.11%,0.06%,4.848MiB / 7.754GiB,34100,28500
1781221069,router1,3.10%,0.08%,6.734MiB / 7.754GiB,58400,50400
1781221071,router1,3.66%,0.10%,7.844MiB / 7.754GiB,83100,75100
1781221073,router1,2.13%,0.12%,9.211MiB / 7.754GiB,109000,99000
1781221076,router1,4.20%,0.14%,11.29MiB / 7.754GiB,145000,134000
1781221078,router1,3.00%,0.16%,12.5MiB / 7.754GiB,177000,167000
1781221080,router1,4.06%,0.18%,14.25MiB / 7.754GiB,217000,207000
1781221082,router1,3.61%,0.20%,15.61MiB / 7.754GiB,256000,246000
1781221084,router1,5.33%,0.22%,17.09MiB / 7.754GiB,301000,292000
1781221086,router1,5.08%,0.23%,18.61MiB / 7.754GiB,345000,338000
1781221088,router1,6.36%,0.26%,20.37MiB / 7.754GiB,398000,391000
1781221090,router1,6.16%,0.27%,21.5MiB / 7.754GiB,449000,444000
1781221092,router1,5.33%,0.29%,23.06MiB / 7.754GiB,504000,500000
1781221094,router1,6.74%,0.31%,24.72MiB / 7.754GiB,566000,561000
1781221096,router1,4.35%,0.33%,26.05MiB / 7.754GiB,625000,621000
1781221099,router1,7.24%,0.35%,27.65MiB / 7.754GiB,694000,689000
1781221101,router1,7.13%,0.37%,29.1MiB / 7.754GiB,761000,756000
1781221103,router1,8.58%,0.39%,30.88MiB / 7.754GiB,834000,829000
1781221105,router1,7.59%,0.40%,32.13MiB / 7.754GiB,908000,902000
1781221107,router1,8.53%,0.43%,33.97MiB / 7.754GiB,989000,983000
1781221109,router1,8.26%,0.45%,35.35MiB / 7.754GiB,1070000,1060000
1781221111,router1,7.47%,0.46%,36.68MiB / 7.754GiB,1150000,1140000
1781221113,router1,9.11%,0.48%,38.39MiB / 7.754GiB,1240000,1230000
1781221115,router1,7.72%,0.50%,39.61MiB / 7.754GiB,1330000,1320000
1781221117,router1,10.46%,0.52%,41.63MiB / 7.754GiB,1430000,1410000
1781221119,router1,9.61%,0.54%,42.66MiB / 7.754GiB,1530000,1510000
1781221122,router1,9.66%,0.56%,44.85MiB / 7.754GiB,1630000,1610000
1781221124,router1,8.79%,0.58%,45.9MiB / 7.754GiB,1730000,1700000
1781221126,router1,91.66%,0.69%,55.04MiB / 7.754GiB,3180000,9140000
1781221128,router1,88.20%,0.69%,55.16MiB / 7.754GiB,6160000,24300000
1781221130,router1,87.01%,0.69%,55.01MiB / 7.754GiB,9140000,39500000
1781221132,router1,85.10%,0.69%,55.07MiB / 7.754GiB,12100000,54700000
1781221134,router1,88.17%,0.70%,55.2MiB / 7.754GiB,15100000,69900000
1781221136,router1,86.67%,0.69%,54.86MiB / 7.754GiB,18100000,85100000
1781221138,router1,86.67%,0.69%,54.86MiB / 7.754GiB,21000000,100000000
1781221141,router1,84.13%,0.69%,54.88MiB / 7.754GiB,24000000,115000000
1781221143,router1,85.77%,0.69%,55.07MiB / 7.754GiB,27000000,131000000
1781221145,router1,87.53%,0.69%,54.92MiB / 7.754GiB,30000000,146000000
1781221147,router1,88.40%,0.69%,54.9MiB / 7.754GiB,32900000,161000000
1781221149,router1,87.90%,0.69%,55.09MiB / 7.754GiB,35900000,176000000
1781221151,router1,86.80%,0.69%,55.12MiB / 7.754GiB,38900000,191000000
1781221153,router1,86.74%,0.69%,55.07MiB / 7.754GiB,41900000,207000000
1781221155,router1,85.79%,0.69%,55.01MiB / 7.754GiB,44800000,222000000
1781221157,router1,87.20%,0.69%,55.05MiB / 7.754GiB,47800000,237000000
1781221159,router1,90.76%,0.69%,55.14MiB / 7.754GiB,50900000,253000000
1781221162,router1,90.34%,0.70%,55.21MiB / 7.754GiB,53900000,268000000
1781221164,router1,89.20%,0.69%,55.08MiB / 7.754GiB,56900000,283000000
1781221166,router1,88.92%,0.69%,54.86MiB / 7.754GiB,59900000,299000000
1781221168,router1,87.00%,0.69%,55.07MiB / 7.754GiB,62900000,314000000
1781221170,router1,81.44%,0.69%,54.89MiB / 7.754GiB,66000000,330000000
1781221172,router1,82.65%,0.69%,54.97MiB / 7.754GiB,69000000,345000000
1781221174,router1,82.43%,0.69%,55.03MiB / 7.754GiB,71900000,360000000
1781221176,router1,83.27%,0.69%,54.9MiB / 7.754GiB,74900000,375000000
1781221179,router1,82.32%,0.69%,54.99MiB / 7.754GiB,77900000,390000000
1781221181,router1,82.06%,0.69%,54.98MiB / 7.754GiB,80900000,406000000
1781221183,router1,81.52%,0.69%,55.09MiB / 7.754GiB,83800000,421000000
1781221185,router1,81.62%,0.70%,55.19MiB / 7.754GiB,86800000,436000000
1781221187,router1,82.00%,0.70%,55.19MiB / 7.754GiB,89800000,452000000
1781221189,router1,84.19%,0.69%,54.98MiB / 7.754GiB,92700000,467000000
1781221191,router1,86.43%,0.70%,55.27MiB / 7.754GiB,95700000,482000000
1781221193,router1,86.49%,0.70%,55.2MiB / 7.754GiB,98700000,497000000
1781221195,router1,85.46%,0.69%,55.18MiB / 7.754GiB,102000000,512000000
1781221197,router1,82.92%,0.70%,55.33MiB / 7.754GiB,105000000,528000000
1781221200,router1,83.41%,0.69%,55.12MiB / 7.754GiB,108000000,543000000
1781221202,router1,88.92%,0.70%,55.22MiB / 7.754GiB,111000000,558000000
1781221204,router1,86.17%,0.70%,55.27MiB / 7.754GiB,114000000,573000000
1781221206,router1,89.02%,0.70%,55.45MiB / 7.754GiB,117000000,589000000
1781221208,router1,87.53%,0.69%,55.16MiB / 7.754GiB,120000000,604000000
1781221210,router1,89.21%,0.70%,55.19MiB / 7.754GiB,123000000,619000000
1781221212,router1,88.49%,0.70%,55.23MiB / 7.754GiB,126000000,635000000
1781221214,router1,89.07%,0.70%,55.23MiB / 7.754GiB,129000000,650000000
1781221217,router1,81.26%,0.69%,54.98MiB / 7.754GiB,132000000,665000000
1781221219,router1,87.79%,0.69%,55.14MiB / 7.754GiB,135000000,680000000
1781221221,router1,85.08%,0.69%,55.17MiB / 7.754GiB,138000000,695000000
1781221223,router1,85.32%,0.70%,55.19MiB / 7.754GiB,141000000,711000000
1781221225,router1,88.44%,0.69%,55.16MiB / 7.754GiB,143000000,726000000
1781221227,router1,85.19%,0.70%,55.3MiB / 7.754GiB,146000000,741000000
1781221229,router1,86.53%,0.70%,55.22MiB / 7.754GiB,149000000,756000000
1781221231,router1,86.51%,0.69%,55.04MiB / 7.754GiB,152000000,771000000
1781221233,router1,82.89%,0.70%,55.29MiB / 7.754GiB,155000000,787000000
1781221235,router1,85.73%,0.69%,55.06MiB / 7.754GiB,158000000,802000000
1781221238,router1,83.58%,0.70%,55.43MiB / 7.754GiB,161000000,817000000
1781221240,router1,82.49%,0.69%,55.04MiB / 7.754GiB,164000000,832000000
1781221242,router1,78.25%,0.69%,55.16MiB / 7.754GiB,167000000,847000000
1781221244,router1,81.73%,0.70%,55.22MiB / 7.754GiB,170000000,863000000
1781221246,router1,233.13%,0.85%,67.85MiB / 7.754GiB,180000000,1220000000
1781221248,router1,229.90%,0.94%,74.34MiB / 7.754GiB,194000000,1830000000
1781221250,router1,233.91%,0.95%,75.56MiB / 7.754GiB,208000000,2430000000
1781221252,router1,184.82%,0.95%,75.38MiB / 7.754GiB,222000000,3040000000
1781221254,router1,213.22%,1.03%,81.59MiB / 7.754GiB,237000000,3650000000
1781221256,router1,232.72%,1.02%,81.36MiB / 7.754GiB,252000000,4250000000
1781221258,router1,204.36%,1.02%,81.16MiB / 7.754GiB,267000000,4860000000
1781221261,router1,201.48%,1.03%,81.91MiB / 7.754GiB,282000000,5460000000
1781221263,router1,209.17%,1.03%,82.01MiB / 7.754GiB,297000000,6070000000
1781221265,router1,209.04%,1.02%,81.09MiB / 7.754GiB,312000000,6670000000
1781221267,router1,202.35%,1.02%,81.15MiB / 7.754GiB,327000000,7280000000
1781221269,router1,206.57%,1.03%,81.46MiB / 7.754GiB,343000000,7880000000
1781221271,router1,220.27%,1.02%,81.3MiB / 7.754GiB,359000000,8500000000
1781221273,router1,239.11%,1.03%,81.73MiB / 7.754GiB,374000000,9110000000
1781221275,router1,213.18%,1.03%,81.84MiB / 7.754GiB,390000000,9710000000
1781221277,router1,236.84%,1.03%,81.64MiB / 7.754GiB,405000000,10300000000
1781221279,router1,214.50%,1.03%,81.57MiB / 7.754GiB,422000000,10900000000
1781221281,router1,213.94%,1.03%,81.53MiB / 7.754GiB,438000000,11500000000
1781221283,router1,239.55%,1.03%,81.84MiB / 7.754GiB,453000000,12200000000
1781221286,router1,240.18%,1.03%,81.4MiB / 7.754GiB,469000000,12800000000
1781221288,router1,222.80%,1.02%,81.25MiB / 7.754GiB,485000000,13400000000
1781221290,router1,217.31%,1.02%,81.29MiB / 7.754GiB,501000000,14000000000
1781221292,router1,221.60%,1.02%,81.3MiB / 7.754GiB,517000000,14600000000
1781221294,router1,219.42%,1.03%,81.45MiB / 7.754GiB,533000000,15200000000
1781221296,router1,221.92%,1.03%,81.5MiB / 7.754GiB,550000000,15800000000
1781221298,router1,243.91%,1.03%,81.94MiB / 7.754GiB,566000000,16400000000
1781221300,router1,243.89%,1.03%,81.68MiB / 7.754GiB,583000000,17100000000
1781221302,router1,245.91%,1.04%,82.31MiB / 7.754GiB,599000000,17700000000
1781221304,router1,215.35%,1.03%,82.02MiB / 7.754GiB,616000000,18300000000
1781221306,router1,225.12%,1.03%,82.01MiB / 7.754GiB,633000000,18900000000
1781221308,router1,226.08%,1.03%,81.69MiB / 7.754GiB,650000000,19500000000
1781221311,router1,225.95%,1.03%,81.82MiB / 7.754GiB,668000000,20100000000
1781221313,router1,216.54%,1.03%,81.79MiB / 7.754GiB,685000000,20700000000
1781221315,router1,223.72%,1.03%,81.78MiB / 7.754GiB,702000000,21300000000
1781221317,router1,177.67%,1.03%,81.78MiB / 7.754GiB,720000000,21900000000
1781221319,router1,209.13%,1.03%,81.63MiB / 7.754GiB,737000000,22500000000
1781221321,router1,223.44%,1.03%,81.87MiB / 7.754GiB,754000000,23100000000
1781221323,router1,219.40%,1.03%,82.03MiB / 7.754GiB,770000000,23700000000
1781221325,router1,232.92%,1.04%,82.5MiB / 7.754GiB,786000000,24300000000
1781221327,router1,243.77%,1.04%,82.23MiB / 7.754GiB,802000000,24900000000
1781221329,router1,239.93%,1.03%,81.97MiB / 7.754GiB,817000000,25500000000
1781221331,router1,231.87%,1.04%,82.31MiB / 7.754GiB,833000000,26200000000
1781221333,router1,222.24%,1.03%,82.05MiB / 7.754GiB,849000000,26800000000
1781221335,router1,243.95%,1.04%,82.5MiB / 7.754GiB,865000000,27400000000
1781221338,router1,239.88%,1.03%,81.67MiB / 7.754GiB,881000000,28000000000
1781221340,router1,243.21%,1.03%,81.82MiB / 7.754GiB,897000000,28600000000
1781221342,router1,221.70%,1.03%,82.09MiB / 7.754GiB,913000000,29200000000
1781221344,router1,210.88%,1.04%,82.47MiB / 7.754GiB,929000000,29800000000
1781221346,router1,244.00%,1.04%,82.26MiB / 7.754GiB,946000000,30500000000
1781221348,router1,203.31%,1.04%,82.45MiB / 7.754GiB,962000000,31100000000
1781221350,router1,171.77%,1.03%,81.96MiB / 7.754GiB,979000000,31700000000
1781221352,router1,213.75%,1.03%,82.16MiB / 7.754GiB,996000000,32300000000
1781221354,router1,178.79%,1.03%,81.73MiB / 7.754GiB,1010000000,32900000000
1781221356,router1,215.89%,1.03%,81.81MiB / 7.754GiB,1030000000,33500000000
1781221358,router1,211.62%,1.03%,81.71MiB / 7.754GiB,1050000000,34100000000
1781221361,router1,214.14%,1.03%,81.68MiB / 7.754GiB,1070000000,34800000000
1781221363,router1,211.91%,1.03%,81.72MiB / 7.754GiB,1080000000,35400000000
1781221365,router1,218.62%,1.03%,81.79MiB / 7.754GiB,1100000000,36000000000
1781221367,router1,87.47%,1.03%,81.58MiB / 7.754GiB,1100000000,36000000000
1781221369,router1,85.88%,1.03%,81.57MiB / 7.754GiB,1110000000,36000000000
1781221371,router1,88.25%,1.03%,81.76MiB / 7.754GiB,1110000000,36100000000
1781221373,router1,88.98%,1.03%,81.82MiB / 7.754GiB,1110000000,36100000000
1781221375,router1,87.96%,1.03%,82.02MiB / 7.754GiB,1120000000,36100000000
1781221377,router1,89.25%,1.03%,81.72MiB / 7.754GiB,1120000000,36100000000
1781221379,router1,86.45%,1.03%,81.95MiB / 7.754GiB,1120000000,36100000000
1781221382,router1,87.32%,1.03%,81.87MiB / 7.754GiB,1130000000,36100000000
1781221384,router1,88.09%,1.03%,81.98MiB / 7.754GiB,1130000000,36100000000
1781221386,router1,90.21%,1.03%,81.75MiB / 7.754GiB,1130000000,36200000000
1781221388,router1,88.62%,1.03%,81.56MiB / 7.754GiB,1130000000,36200000000
1781221390,router1,85.90%,1.03%,81.81MiB / 7.754GiB,1140000000,36200000000
1781221392,router1,87.93%,1.03%,81.57MiB / 7.754GiB,1140000000,36200000000
1781221394,router1,83.22%,1.03%,81.8MiB / 7.754GiB,1140000000,36200000000
1781221396,router1,82.29%,1.03%,81.97MiB / 7.754GiB,1150000000,36200000000
1781221398,router1,82.86%,1.03%,81.68MiB / 7.754GiB,1150000000,36300000000
1781221400,router1,79.74%,1.03%,81.77MiB / 7.754GiB,1150000000,36300000000
1781221403,router1,84.11%,1.03%,81.88MiB / 7.754GiB,1160000000,36300000000
1781221405,router1,83.72%,1.03%,81.61MiB / 7.754GiB,1160000000,36300000000
1781221407,router1,81.23%,1.03%,81.76MiB / 7.754GiB,1160000000,36300000000
1781221409,router1,83.67%,1.03%,81.8MiB / 7.754GiB,1160000000,36300000000
1781221411,router1,85.24%,1.03%,81.72MiB / 7.754GiB,1170000000,36300000000
1781221413,router1,95.34%,1.03%,81.82MiB / 7.754GiB,1170000000,36400000000
1781221415,router1,87.26%,1.03%,81.7MiB / 7.754GiB,1170000000,36400000000
1781221417,router1,83.62%,1.03%,81.64MiB / 7.754GiB,1180000000,36400000000
1781221419,router1,81.97%,1.03%,81.73MiB / 7.754GiB,1180000000,36400000000
1781221421,router1,81.77%,1.03%,81.71MiB / 7.754GiB,1180000000,36400000000
1781221424,router1,83.57%,1.03%,81.59MiB / 7.754GiB,1190000000,36400000000
1781221426,router1,82.92%,1.03%,81.8MiB / 7.754GiB,1190000000,36500000000
1781221428,router1,83.62%,1.03%,81.71MiB / 7.754GiB,1190000000,36500000000
1781221430,router1,83.34%,1.03%,81.99MiB / 7.754GiB,1190000000,36500000000
1781221432,router1,80.39%,1.03%,81.78MiB / 7.754GiB,1200000000,36500000000
1781221434,router1,82.91%,1.03%,81.58MiB / 7.754GiB,1200000000,36500000000
1781221436,router1,83.23%,1.03%,81.73MiB / 7.754GiB,1200000000,36500000000
1781221438,router1,83.84%,1.03%,81.64MiB / 7.754GiB,1210000000,36500000000
1781221440,router1,83.29%,1.03%,82.03MiB / 7.754GiB,1210000000,36600000000
1781221442,router1,83.28%,1.03%,81.65MiB / 7.754GiB,1210000000,36600000000
1781221444,router1,80.11%,1.03%,81.75MiB / 7.754GiB,1210000000,36600000000
1781221447,router1,86.18%,1.03%,81.59MiB / 7.754GiB,1220000000,36600000000
1781221449,router1,88.55%,1.03%,81.69MiB / 7.754GiB,1220000000,36600000000
1781221451,router1,86.59%,1.03%,81.73MiB / 7.754GiB,1220000000,36600000000
1781221453,router1,88.58%,1.03%,81.81MiB / 7.754GiB,1230000000,36600000000
1781221455,router1,134.90%,1.15%,91.46MiB / 7.754GiB,1230000000,36800000000
1781221457,router1,256.83%,1.15%,91.5MiB / 7.754GiB,1250000000,38000000000
1781221459,router1,251.30%,1.17%,93.09MiB / 7.754GiB,1270000000,39200000000
1781221461,router1,250.44%,1.17%,92.88MiB / 7.754GiB,1290000000,40400000000
1781221463,router1,228.48%,1.18%,93.9MiB / 7.754GiB,1310000000,41600000000
1781221465,router1,237.45%,1.17%,92.82MiB / 7.754GiB,1330000000,42800000000
1781221467,router1,238.90%,1.18%,93.32MiB / 7.754GiB,1350000000,44000000000
1781221470,router1,226.78%,1.17%,93.18MiB / 7.754GiB,1370000000,45200000000
1781221472,router1,245.39%,1.20%,95.08MiB / 7.754GiB,1390000000,46400000000
1781221474,router1,244.83%,1.20%,95.67MiB / 7.754GiB,1410000000,47600000000
1781221476,router1,248.54%,1.20%,95.66MiB / 7.754GiB,1430000000,48800000000
1781221478,router1,245.92%,1.21%,95.77MiB / 7.754GiB,1450000000,50000000000
1781221480,router1,252.43%,1.21%,95.71MiB / 7.754GiB,1470000000,51200000000
1781221482,router1,247.00%,1.22%,96.91MiB / 7.754GiB,1490000000,52400000000
1781221484,router1,239.33%,1.21%,96.13MiB / 7.754GiB,1510000000,53600000000
1781221486,router1,243.75%,1.21%,96.12MiB / 7.754GiB,1530000000,54800000000
1781221488,router1,241.96%,1.21%,96.25MiB / 7.754GiB,1550000000,56000000000
1781221490,router1,248.56%,1.22%,96.97MiB / 7.754GiB,1570000000,57200000000
1781221492,router1,233.94%,1.22%,97.22MiB / 7.754GiB,1590000000,58400000000
1781221495,router1,228.16%,1.21%,96.33MiB / 7.754GiB,1610000000,59600000000
1781221497,router1,232.70%,1.22%,96.63MiB / 7.754GiB,1630000000,60900000000
1781221499,router1,251.45%,1.22%,97.04MiB / 7.754GiB,1650000000,62100000000
1781221501,router1,233.35%,1.22%,96.75MiB / 7.754GiB,1670000000,63300000000
1781221503,router1,246.88%,1.22%,96.82MiB / 7.754GiB,1690000000,64500000000
1781221505,router1,250.70%,1.22%,97.08MiB / 7.754GiB,1710000000,65700000000
1781221507,router1,250.88%,1.23%,97.3MiB / 7.754GiB,1730000000,66900000000
1781221509,router1,246.28%,1.23%,97.67MiB / 7.754GiB,1750000000,68100000000
1781221511,router1,244.62%,1.23%,97.57MiB / 7.754GiB,1770000000,69300000000
1781221513,router1,236.17%,1.23%,97.48MiB / 7.754GiB,1800000000,70500000000
1781221515,router1,252.36%,1.24%,98.23MiB / 7.754GiB,1820000000,71700000000
1781221517,router1,246.02%,1.24%,98.36MiB / 7.754GiB,1840000000,72900000000
1781221519,router1,245.14%,1.24%,98.16MiB / 7.754GiB,1860000000,74100000000
1781221522,router1,234.27%,1.23%,97.88MiB / 7.754GiB,1880000000,75300000000
1781221524,router1,223.78%,1.59%,126MiB / 7.754GiB,1900000000,76500000000
1781221526,router1,255.18%,1.61%,127.8MiB / 7.754GiB,1920000000,77700000000
1781221528,router1,248.35%,1.60%,127.3MiB / 7.754GiB,1940000000,78900000000
1781221530,router1,248.95%,1.59%,126.3MiB / 7.754GiB,1960000000,80100000000
1781221532,router1,246.98%,1.60%,127.1MiB / 7.754GiB,1980000000,81300000000
1781221534,router1,234.03%,1.61%,128.1MiB / 7.754GiB,2010000000,82500000000
1781221536,router1,250.79%,1.59%,125.9MiB / 7.754GiB,2030000000,83700000000
1781221538,router1,245.84%,1.59%,125.9MiB / 7.754GiB,2050000000,84900000000
1781221540,router1,245.02%,1.62%,128.3MiB / 7.754GiB,2070000000,86100000000
1781221542,router1,242.89%,1.59%,126.1MiB / 7.754GiB,2090000000,87300000000
1781221544,router1,244.98%,1.59%,126.3MiB / 7.754GiB,2110000000,88500000000
1781221546,router1,239.91%,1.59%,126.3MiB / 7.754GiB,2130000000,89700000000
1781221548,router1,250.37%,1.60%,127MiB / 7.754GiB,2160000000,90900000000
1781221550,router1,241.57%,1.59%,126.3MiB / 7.754GiB,2180000000,92100000000
1781221553,router1,245.57%,1.59%,126.6MiB / 7.754GiB,2200000000,93300000000
1781221555,router1,240.67%,1.59%,125.9MiB / 7.754GiB,2220000000,94500000000
1781221557,router1,235.00%,1.61%,128.2MiB / 7.754GiB,2240000000,95700000000
1781221559,router1,251.93%,1.58%,125.8MiB / 7.754GiB,2270000000,96900000000
1781221561,router1,244.13%,1.61%,127.5MiB / 7.754GiB,2290000000,98100000000
1781221563,router1,230.51%,1.59%,126MiB / 7.754GiB,2310000000,99300000000
1781221565,router1,231.73%,1.61%,127.6MiB / 7.754GiB,2330000000,100000000000
1781221567,router1,238.95%,1.59%,126MiB / 7.754GiB,2350000000,102000000000
1781221569,router1,242.99%,1.59%,125.9MiB / 7.754GiB,2380000000,103000000000
1781221571,router1,249.23%,1.60%,127.2MiB / 7.754GiB,2400000000,104000000000
1781221573,router1,240.91%,1.59%,126.1MiB / 7.754GiB,2420000000,105000000000
1781221575,router1,180.19%,1.58%,125.8MiB / 7.754GiB,2440000000,106000000000
1781221577,router1,90.71%,1.59%,126MiB / 7.754GiB,2440000000,106000000000
1781221579,router1,82.57%,1.59%,126.1MiB / 7.754GiB,2440000000,106000000000
1781221582,router1,83.09%,1.59%,125.9MiB / 7.754GiB,2450000000,106000000000
1781221584,router1,85.86%,1.59%,126MiB / 7.754GiB,2450000000,106000000000
1781221586,router1,91.80%,1.58%,125.7MiB / 7.754GiB,2450000000,106000000000
1781221588,router1,90.22%,1.58%,125.8MiB / 7.754GiB,2450000000,106000000000
1781221590,router1,89.40%,1.59%,125.9MiB / 7.754GiB,2460000000,106000000000
1781221592,router1,88.43%,1.59%,126.3MiB / 7.754GiB,2460000000,106000000000
1781221594,router1,87.35%,1.59%,126MiB / 7.754GiB,2460000000,106000000000
1781221596,router1,92.29%,1.59%,125.9MiB / 7.754GiB,2470000000,106000000000
1781221598,router1,89.25%,1.58%,125.7MiB / 7.754GiB,2470000000,106000000000
1781221600,router1,88.46%,1.59%,125.9MiB / 7.754GiB,2470000000,106000000000
1781221603,router1,91.02%,1.58%,125.8MiB / 7.754GiB,2480000000,106000000000
1781221605,router1,89.14%,1.58%,125.7MiB / 7.754GiB,2480000000,106000000000
1781221607,router1,88.52%,1.59%,125.9MiB / 7.754GiB,2480000000,106000000000
