timestamp,sent_count,received_count,error_count,total_throughput,interval_throughput,latency_ns_p25,latency_ns_p50,latency_ns_p75,latency_ns_p95,latency_ns_p99,latency_ns_min,latency_ns_max,latency_ns_mean,latency_ns_stddev,latency_sample_count,connections,active_connections,connection_attempts,connection_failures,crashes_injected,reconnects,reconnect_failures,duplicate_count,gap_count,interval_latency_ns_p50,interval_latency_ns_p95,interval_latency_ns_p99,interval_latency_ns_mean,interval_latency_sample_count
1781302898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0
1781302899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,99,0,0,0,0,0,0,0,0,0,0,0
1781302900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0
1781302901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0
1781302902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0
1781302903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0
1781302904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0
1781302905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,158,158,0,0,0,0,0,0,0,0,0,0,0
1781302906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0,0,0,0,0
1781302907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0,0,0,0,0
1781302908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0,0,0,0,0
1781302909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0,0,0,0,0
1781302910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0,0,0,0,0
1781302911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0,0,0,0,0
1781302912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,258,258,0,0,0,0,0,0,0,0,0,0,0
1781302913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0
1781302914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0
1781302915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0
1781302916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0
1781302917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0
1781302918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0
1781302919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,358,358,0,0,0,0,0,0,0,0,0,0,0
1781302920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,0,0,0,0,0,0,0
1781302921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,0,0,0,0,0,0,0
1781302922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,0,0,0,0,0,0,0
1781302923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,0,0,0,0,0,0,0
1781302924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,0,0,0,0,0,0,0
1781302925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,458,458,0,0,0,0,0,0,0,0,0,0,0
1781302926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0,0,0
1781302927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0,0,0
1781302928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0,0,0
1781302929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0,0,0
1781302930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0,0,0
1781302931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0,0,0
1781302932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,558,558,0,0,0,0,0,0,0,0,0,0,0
1781302933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,600,600,0,0,0,0,0,0,0,0,0,0,0
1781302934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,600,600,0,0,0,0,0,0,0,0,0,0,0
1781302935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,600,600,0,0,0,0,0,0,0,0,0,0,0
1781302936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,600,600,0,0,0,0,0,0,0,0,0,0,0
1781302937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,600,600,0,0,0,0,0,0,0,0,0,0,0
1781302938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,600,600,0,0,0,0,0,0,0,0,0,0,0
1781302939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,658,658,0,0,0,0,0,0,0,0,0,0,0
1781302940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,700,700,0,0,0,0,0,0,0,0,0,0,0
1781302941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,700,700,0,0,0,0,0,0,0,0,0,0,0
1781302942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,700,700,0,0,0,0,0,0,0,0,0,0,0
1781302943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,700,700,0,0,0,0,0,0,0,0,0,0,0
1781302944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,700,700,0,0,0,0,0,0,0,0,0,0,0
1781302945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,758,758,0,0,0,0,0,0,0,0,0,0,0
1781302946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,0,0,0,0,0,0,0
1781302947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,0,0,0,0,0,0,0
1781302948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,0,0,0,0,0,0,0
1781302949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,0,0,0,0,0,0,0
1781302950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,0,0,0,0,0,0,0
1781302951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,0,0,0,0,0,0,0
1781302952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,858,858,0,0,0,0,0,0,0,0,0,0,0
1781302953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,0,0,0,0,0,0,0,0,0,0,0
1781302954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,0,0,0,0,0,0,0,0,0,0,0
1781302955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,0,0,0,0,0,0,0,0,0,0,0
1781302956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,0,0,0,0,0,0,0,0,0,0,0
1781302957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,0,0,0,0,0,0,0,0,0,0,0
1781302958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,0,0,0,0,0,0,0,0,0,0,0
1781302959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,958,958,0,0,0,0,0,0,0,0,0,0,0
1781302960,0,8885,0,0,8884.96,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302961,0,28300,0,0,19416.08,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302962,0,48303,0,0,20001.72,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302963,0,68291,0,0,19988.66,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302964,0,88303,0,0,20011.57,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302965,0,108301,0,0,19995.17,3450343.37,3450343.37,3450343.37,3450343.37,3450343.37,2385920,4521983,3449194.34,0,65,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302966,0,128305,0,0,20006.30,3551271.96,3551271.96,3551271.96,3551271.96,3551271.96,2385920,4714495,3550085.12,0,100,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302967,0,148304,0,0,20000.05,3551271.96,3551271.96,3551271.96,3551271.96,3551271.96,2385920,4714495,3550085.12,0,100,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302968,0,168303,0,0,19998.75,3551271.96,3551271.96,3551271.96,3551271.96,3551271.96,2385920,4714495,3550085.12,0,100,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302969,0,188300,0,0,19996.46,3551271.96,3551271.96,3551271.96,3551271.96,3551271.96,2385920,4714495,3550085.12,0,100,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302970,0,208299,0,0,19999.14,3473888.16,3473888.16,3527358.23,3527358.23,3527358.23,2385920,4714495,3499470.65,26716.53,166,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302971,0,228302,0,0,20003.59,3523890.20,3523890.20,3608902.68,3608902.68,3608902.68,2385920,4849663,3565219.84,42485.76,200,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302972,0,248304,0,0,20001.61,3523890.20,3523890.20,3608902.68,3608902.68,3608902.68,2385920,4849663,3565219.84,42485.76,200,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302973,0,268304,0,0,19997.77,3523890.20,3523890.20,3608902.68,3608902.68,3608902.68,2385920,4849663,3565219.84,42485.76,200,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302974,0,288302,0,0,19998.72,3523890.20,3523890.20,3608902.68,3608902.68,3608902.68,2385920,4849663,3565219.84,42485.76,200,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302975,0,308303,0,0,20003.82,3414723.33,3516191.72,3627330.37,3627330.37,3627330.37,2316288,4849663,3523368.42,94010.84,266,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302976,0,328299,0,0,19995.09,3445697.56,3580292.12,3739216.92,3739216.92,3739216.92,2316288,5259263,3587239.25,125980.19,300,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302977,0,348302,0,0,20002.12,3445697.56,3580292.12,3739216.92,3739216.92,3739216.92,2316288,5259263,3587239.25,125980.19,300,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302978,0,368302,0,0,20000.63,3445697.56,3580292.12,3739216.92,3739216.92,3739216.92,2316288,5259263,3587239.25,125980.19,300,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302979,0,388307,0,0,20004.94,3445697.56,3580292.12,3739216.92,3739216.92,3739216.92,2316288,5259263,3587239.25,125980.19,300,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302980,0,408306,0,0,19998.58,3418206.13,3546418.76,3682442.89,4050545.71,4050545.71,2316288,7520255,3658240.00,253209.09,366,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302981,0,428304,0,0,19996.89,3445697.56,3573042.20,3719945.24,4193340.44,4193340.44,2316288,7520255,3731804.16,297942.99,400,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302982,0,448306,0,0,20002.17,3445697.56,3573042.20,3719945.24,4193340.44,4193340.44,2316288,7520255,3731804.16,297942.99,400,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302983,0,468304,0,0,19999.44,3445697.56,3573042.20,3719945.24,4193340.44,4193340.44,2316288,7520255,3731804.16,297942.99,400,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302984,0,488304,0,0,20000.02,3445697.56,3573042.20,3719945.24,4193340.44,4193340.44,2316288,7520255,3731804.16,297942.99,400,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302985,0,508300,0,0,19995.13,3478689.61,3581709.28,3713031.79,4174121.85,4174121.85,2316288,7520255,3686514.27,294125.31,466,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302986,0,528303,0,0,20003.32,3502509.08,3605052.44,3741326.36,4199689.24,4199689.24,2316288,7520255,3676866.56,310537.96,500,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302987,0,548301,0,0,19998.11,3502509.08,3605052.44,3741326.36,4199689.24,4199689.24,2316288,7520255,3676866.56,310537.96,500,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302988,0,568301,0,0,19999.72,3502509.08,3605052.44,3741326.36,4199689.24,4199689.24,2316288,7520255,3676866.56,310537.96,500,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302989,0,588311,0,0,20008.17,3502509.08,3605052.44,3741326.36,4199689.24,4199689.24,2316288,7520255,3676866.56,310537.96,500,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302990,0,608306,0,0,19994.88,3479453.30,3569587.01,3727720.84,4182590.32,4182590.32,2316288,7520255,3652597.14,296153.05,566,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302991,0,628302,0,0,19998.56,3495300.12,3585739.80,3799899.16,4203068.44,4203068.44,2316288,7520255,3679022.08,293774.74,600,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302992,0,648304,0,0,20000.53,3495300.12,3585739.80,3799899.16,4203068.44,4203068.44,2316288,7520255,3679022.08,293774.74,600,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302993,0,668302,0,0,19998.94,3495300.12,3585739.80,3799899.16,4203068.44,4203068.44,2316288,7520255,3679022.08,293774.74,600,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302994,0,688305,0,0,20004.31,3495300.12,3585739.80,3799899.16,4203068.44,4203068.44,2316288,7520255,3679022.08,293774.74,600,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302995,0,708304,0,0,19998.29,3477376.92,3589158.98,3789939.85,4202611.85,4202611.85,2316288,7520255,3659477.72,286489.65,666,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302996,0,728303,0,0,19998.57,3467815.96,3629812.76,3813968.92,4220415,4220415,2316288,7520255,3670473.87,283842.10,700,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302997,0,748305,0,0,19999.71,3467815.96,3629812.76,3813968.92,4220415,4220415,2316288,7520255,3670473.87,283842.10,700,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302998,0,768304,0,0,20001.33,3467815.96,3629812.76,3813968.92,4220415,4220415,2316288,7520255,3670473.87,283842.10,700,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781302999,0,788304,0,0,20000.76,3467815.96,3629812.76,3813968.92,4220415,4220415,2316288,7520255,3670473.87,283842.10,700,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781303000,0,808301,0,0,19996.41,3459073.68,3611466.29,3773012.00,4210285.43,4210285.43,2316288,7520255,3659045.15,273320.99,765,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781303001,0,828295,0,0,19993.88,3465460.76,3597433.88,3712715.80,4223978.52,4223978.52,2316288,7520255,3666086.40,272290.68,800,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781303002,0,848306,0,0,20011.03,3465460.76,3597433.88,3712715.80,4223978.52,4223978.52,2316288,7520255,3666086.40,272290.68,800,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781303003,0,868298,0,0,19993.02,3465460.76,3597433.88,3712715.80,4223978.52,4223978.52,2316288,7520255,3666086.40,272290.68,800,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781303004,0,888303,0,0,20004.05,3465460.76,3597433.88,3712715.80,4223978.52,4223978.52,2316288,7520255,3666086.40,272290.68,800,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781303005,0,908302,0,0,19998.02,3487281.85,3613541.28,3720164.99,4213803.93,4213803.93,2316288,7520255,3662430.60,265091.40,866,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781303006,0,928307,0,0,20004.47,3526347.80,3651828.76,3735325.72,4226538.52,4226538.52,2316288,7520255,3673219.98,262465.50,900,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781303007,0,948302,0,0,19996.13,3526347.80,3651828.76,3735325.72,4226538.52,4226538.52,2316288,7520255,3673219.98,262465.50,900,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
1781303008,0,968304,0,0,20002.46,3526347.80,3651828.76,3735325.72,4226538.52,4226538.52,2316288,7520255,3673219.98,262465.50,900,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0
