transport,run_id,time_s,phase,phase_time_s,target_throughput_msg_s,delivery_throughput_msg_s,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_latency_ms,cpu_cores,memory_gb,network_rx_gbps,network_tx_gbps
zenoh,fanout_bursty_20260612_222138_zenoh_p64_s1000_u10_bursty,0,baseline,0,20000,19416.08,0,0,0,0,0.0513,0.032246,0.000272,0.00028
zenoh,fanout_bursty_20260612_222138_zenoh_p64_s1000_u10_bursty,1,baseline,1,20000,20001.72,0,0,0,0,0.0513,0.032246,0.000272,0.00028
zenoh,fanout_bursty_20260612_222138_zenoh_p64_s1000_u10_bursty,2,baseline,2,20000,19988.66,0,0,0,0,0.0571,0.032139,0.000272,0.00028
zenoh,fanout_bursty_20260612_222138_zenoh_p64_s1000_u10_bursty,3,baseline,3,20000,20011.57,0,0,0,0,0.0571,0.032139,0.000272,0.00028
zenoh,fanout_bursty_20260612_222138_zenoh_p64_s1000_u10_bursty,4,baseline,4,20000,19995.17,0,0,0,0,0.0571,0.032139,0.000272,0.00028
zenoh,fanout_bursty_20260612_222138_zenoh_p64_s1000_u10_bursty,5,baseline,5,20000,20006.3,0,0,0,0,0.1773,0.036484,0.000267,0.00024
zenoh,fanout_bursty_20260612_222138_zenoh_p64_s1000_u10_bursty,6,baseline,6,20000,20000.05,0,0,0,0,0.1773,0.036484,0.000267,0.00024
zenoh,fanout_bursty_20260612_222138_zenoh_p64_s1000_u10_bursty,7,baseline,7,20000,19998.75,0,0,0,0,0.0777,0.036641,0.00032,0.00036
zenoh,fanout_bursty_20260612_222138_zenoh_p64_s1000_u10_bursty,8,baseline,8,20000,19996.46,0,0,0,0,0.0777,0.036641,0.00032,0.00036
zenoh,fanout_bursty_20260612_222138_zenoh_p64_s1000_u10_bursty,9,baseline,9,20000,19999.14,0,0,0,0,0.0738,0.03666,0.00024,0.00024
zenoh,fanout_bursty_20260612_222138_zenoh_p64_s1000_u10_bursty,10,baseline,10,20000,20003.59,0,0,0,0,0.0738,0.03666,0.00024,0.00024
zenoh,fanout_bursty_20260612_222138_zenoh_p64_s1000_u10_bursty,11,baseline,11,20000,20001.61,0,0,0,0,0.2017,0.040977,0.00052,0.00048
