transport,run_id,time_s,phase,phase_time_s,target_throughput_msg_s,delivery_throughput_msg_s,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_latency_ms,cpu_cores,memory_gb,network_rx_gbps,network_tx_gbps
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,2.5,baseline,2.5,20000,19346.32,2.339554,6.289206,8.009698,2.642988,0.0941,0.030186,0.000299,0.00028
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,7.5,baseline,7.5,20000,20001.612,2.334917,3.913753,4.61689,2.369616,0.05905,0.032236,0.00026,0.00026
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,12.5,baseline,12.5,20000,19999.616,2.359258,3.865984,4.935461,2.382973,0.101933,0.036553,0.000307,0.00032
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,17.5,baseline,17.5,20000,19999.628,2.316129,4.003933,4.99298,2.35708,0.1345,0.040938,0.0004,0.0004
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,22.5,baseline,22.5,20000,20001.646,2.318862,3.789311,4.396327,2.335899,0.06005,0.040962,0.00032,0.00032
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,27.5,baseline,27.5,20000,19998.7,2.270498,3.722308,4.329182,2.287621,0.8346,0.05387,0.0088,0.029467
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,32.5,baseline,32.5,20000,20001.332,2.236171,3.681388,4.000975,2.259606,0.89795,0.053711,0.01176,0.0396
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,37.5,baseline,37.5,20000,19999.92,2.303266,3.750886,4.028407,2.31436,0.8772,0.053831,0.011867,0.039467
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,42.5,baseline,42.5,20000,19999.782,2.30105,3.737398,4.026903,2.320616,0.88425,0.053994,0.0098,0.033267
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,47.5,baseline,47.5,20000,19998.58,2.337439,3.822734,4.350362,2.357901,0.83685,0.053838,0.0118,0.0392
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,52.5,baseline,52.5,20000,20000.254,2.320274,3.923605,4.581938,2.364,0.8723,0.053854,0.011733,0.04
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,57.5,baseline,57.5,20000,20001.204,2.319002,3.839551,4.458968,2.345622,0.85235,0.053813,0.0116,0.038
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,62.5,burst,2.5,3000000,2539684.636,102.977545,178.723684,199.065162,105.110003,0.8612,0.053779,0.0098,0.033333
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,67.5,burst,7.5,3000000,3002169.488,677.209225,817.09547,846.028097,675.378678,0.8647,0.053805,0.0116,0.038667
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,72.5,burst,12.5,3000000,3123852.666,472.634553,543.931733,566.149903,473.268947,0.8872,0.053789,0.0118,0.04
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,77.5,burst,17.5,3000000,2887787.552,403.536293,461.183337,480.139221,405.87227,0.810933,0.053932,0.011733,0.038667
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,82.5,burst,22.5,3000000,2851389.058,605.479824,679.439218,700.629517,607.455427,0.83845,0.053862,0.009667,0.033333
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,87.5,burst,27.5,3000000,2861604.35,859.863668,935.443191,955.563862,860.758706,2.8032,0.120215,0.0682,3.478
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,92.5,burst,32.5,3000000,2864005.068,1044.179631,1113.095031,1131.911664,1045.102748,3.121933,0.161947,0.065333,4.013333
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,97.5,burst,37.5,3000000,2891596.648,1165.901158,1257.222579,1279.183126,1167.450349,3.0289,0.16582,0.056,4.14
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,102.5,burst,42.5,3000000,2882197.618,1375.397302,1473.531126,1496.924317,1377.341297,3.0469,0.167578,0.058,3.86
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,107.5,burst,47.5,3000000,2878813.988,1451.163025,1565.372387,1589.134015,1451.88057,3.0331,0.169857,0.054222,3.395556
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,112.5,burst,52.5,3000000,2912628.586,1580.792503,1689.820442,1715.432571,1583.552988,2.98305,0.171387,0.064,4
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,117.5,burst,57.5,3000000,2210045.762,2223.339446,2389.85164,2413.163882,2231.720241,2.947167,0.172689,0.058667,3.866667
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,122.5,recovery,2.5,20000,1851650.672,5431.898441,6002.162778,6046.299008,5258.7036,3.0835,0.173877,0.066,3.8
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,127.5,recovery,7.5,20000,20000.04,2.392923,3.993828,4.855373,2.428894,3.03475,0.174121,0.048667,3.133333
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,132.5,recovery,12.5,20000,20000.71,2.338214,3.82396,4.101784,2.353417,3.0551,0.174642,0.057333,4
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,137.5,recovery,17.5,20000,19999.21,2.322731,3.80899,4.218228,2.348288,3.08385,0.174707,0.06,3.8
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,142.5,recovery,22.5,20000,19999.672,2.315343,3.80162,4.198669,2.346395,2.95905,0.178271,0.07,3.2
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,147.5,recovery,27.5,20000,20001.3,2.325005,3.822842,4.437612,2.351242,2.377667,0.172266,0.04,2.222222
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,152.5,recovery,32.5,20000,19998.254,2.340219,3.836029,4.303288,2.358888,0.8186,0.166748,0.01,0
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,157.5,recovery,37.5,20000,20000.966,2.277675,3.716056,3.98694,2.302624,0.832767,0.166797,0.012,0
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,162.5,recovery,42.5,20000,19998.688,2.322606,3.769231,4.046948,2.34232,0.8848,0.166797,0.012,0
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,167.5,recovery,47.5,20000,19999.29,2.368546,3.880856,4.548036,2.385417,0.8658,0.166699,0.01,0.133333
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,172.5,recovery,52.5,20000,20001.38,2.338283,3.911869,4.494607,2.361772,0.8534,0.166634,0.012,0
zenoh,fanout_bursty_20260615_221500_zenoh_p128_s1000_u10_bursty,177.5,recovery,57.5,20000,20001.228,2.325751,3.783215,4.149602,2.344264,0.839,0.166797,0.012,0
