timestamp,container,cpu_perc,mem_perc,mem_usage,net_rx_b,net_tx_b
1781581298,router1,2.59%,0.05%,3.625MiB / 7.754GiB,17100,13100
1781581300,router1,3.15%,0.06%,5.133MiB / 7.754GiB,34400,28500
1781581302,router1,1.64%,0.08%,6.258MiB / 7.754GiB,54100,46600
1781581304,router1,3.85%,0.11%,8.352MiB / 7.754GiB,84200,74700
1781581306,router1,2.79%,0.12%,9.398MiB / 7.754GiB,110000,98300
1781581308,router1,3.72%,0.14%,10.97MiB / 7.754GiB,145000,132000
1781581310,router1,2.11%,0.15%,12.29MiB / 7.754GiB,178000,165000
1781581312,router1,2.87%,0.18%,14.04MiB / 7.754GiB,217000,203000
1781581314,router1,2.72%,0.20%,15.52MiB / 7.754GiB,257000,242000
1781581316,router1,4.34%,0.21%,16.97MiB / 7.754GiB,298000,283000
1781581318,router1,5.93%,0.24%,18.81MiB / 7.754GiB,347000,332000
1781581320,router1,5.07%,0.25%,20.2MiB / 7.754GiB,394000,381000
1781581323,router1,6.30%,0.27%,21.46MiB / 7.754GiB,451000,438000
1781581325,router1,4.95%,0.29%,22.82MiB / 7.754GiB,504000,492000
1781581327,router1,6.58%,0.31%,24.8MiB / 7.754GiB,566000,554000
1781581329,router1,5.13%,0.33%,25.91MiB / 7.754GiB,628000,614000
1781581331,router1,6.72%,0.35%,27.64MiB / 7.754GiB,694000,677000
1781581333,router1,5.48%,0.37%,29.06MiB / 7.754GiB,762000,745000
1781581335,router1,6.62%,0.38%,30.3MiB / 7.754GiB,831000,813000
1781581337,router1,7.59%,0.41%,32.25MiB / 7.754GiB,907000,888000
1781581339,router1,6.05%,0.42%,33.35MiB / 7.754GiB,982000,964000
1781581341,router1,7.21%,0.45%,35.36MiB / 7.754GiB,1060000,1050000
1781581343,router1,8.02%,0.46%,36.46MiB / 7.754GiB,1150000,1120000
1781581345,router1,7.34%,0.48%,37.78MiB / 7.754GiB,1230000,1210000
1781581347,router1,8.46%,0.50%,39.52MiB / 7.754GiB,1320000,1300000
1781581350,router1,7.10%,0.52%,40.99MiB / 7.754GiB,1410000,1390000
1781581352,router1,9.08%,0.54%,42.89MiB / 7.754GiB,1510000,1480000
1781581354,router1,8.81%,0.56%,44.23MiB / 7.754GiB,1610000,1580000
1781581356,router1,8.37%,0.58%,45.79MiB / 7.754GiB,1720000,1680000
1781581358,router1,59.69%,0.69%,54.8MiB / 7.754GiB,2640000,3910000
1781581360,router1,84.09%,0.69%,55.13MiB / 7.754GiB,5520000,11000000
1781581362,router1,85.33%,0.69%,55.05MiB / 7.754GiB,8410000,18000000
1781581364,router1,85.84%,0.69%,55.06MiB / 7.754GiB,11300000,25000000
1781581366,router1,80.06%,0.69%,55.07MiB / 7.754GiB,14200000,32000000
1781581368,router1,84.67%,0.70%,55.39MiB / 7.754GiB,17000000,39000000
1781581370,router1,85.69%,0.69%,55.08MiB / 7.754GiB,19900000,46000000
1781581373,router1,85.02%,0.70%,55.23MiB / 7.754GiB,22800000,53100000
1781581375,router1,82.94%,0.69%,55.12MiB / 7.754GiB,25600000,60000000
1781581377,router1,81.96%,0.69%,55.04MiB / 7.754GiB,28500000,67000000
1781581379,router1,83.03%,0.69%,55.06MiB / 7.754GiB,31400000,74000000
1781581381,router1,83.82%,0.69%,54.99MiB / 7.754GiB,34200000,81000000
1781581383,router1,86.38%,0.69%,54.91MiB / 7.754GiB,37100000,88000000
1781581385,router1,83.51%,0.69%,55.11MiB / 7.754GiB,40000000,95100000
1781581387,router1,83.43%,0.69%,55.05MiB / 7.754GiB,42800000,102000000
1781581389,router1,80.72%,0.69%,55.05MiB / 7.754GiB,45700000,109000000
1781581391,router1,81.14%,0.69%,54.94MiB / 7.754GiB,48500000,116000000
1781581393,router1,82.48%,0.69%,54.87MiB / 7.754GiB,51400000,123000000
1781581395,router1,82.41%,0.69%,55.09MiB / 7.754GiB,54300000,130000000
1781581398,router1,78.26%,0.69%,54.85MiB / 7.754GiB,57100000,137000000
1781581400,router1,80.29%,0.69%,55.16MiB / 7.754GiB,60000000,144000000
1781581402,router1,83.22%,0.69%,55.14MiB / 7.754GiB,62900000,151000000
1781581404,router1,87.20%,0.69%,54.84MiB / 7.754GiB,65800000,158000000
1781581406,router1,88.35%,0.69%,55.08MiB / 7.754GiB,68700000,165000000
1781581408,router1,83.57%,0.69%,54.9MiB / 7.754GiB,71500000,172000000
1781581410,router1,82.27%,0.69%,55.18MiB / 7.754GiB,74400000,179000000
1781581412,router1,82.14%,0.69%,55.07MiB / 7.754GiB,77300000,186000000
1781581414,router1,81.11%,0.69%,55.02MiB / 7.754GiB,80200000,193000000
1781581416,router1,64.65%,0.69%,55.07MiB / 7.754GiB,83100000,200000000
1781581418,router1,142.98%,0.72%,56.85MiB / 7.754GiB,89000000,220000000
1781581421,router1,132.00%,0.74%,59.1MiB / 7.754GiB,95300000,251000000
1781581423,router1,133.40%,0.75%,59.66MiB / 7.754GiB,101000000,282000000
1781581425,router1,137.93%,0.76%,60.5MiB / 7.754GiB,106000000,313000000
1781581427,router1,115.40%,0.77%,60.98MiB / 7.754GiB,112000000,344000000
1781581429,router1,134.81%,0.77%,61.34MiB / 7.754GiB,118000000,376000000
1781581431,router1,138.20%,0.78%,61.57MiB / 7.754GiB,123000000,407000000
1781581433,router1,134.88%,0.78%,61.93MiB / 7.754GiB,129000000,439000000
1781581435,router1,152.22%,0.79%,62.45MiB / 7.754GiB,135000000,470000000
1781581437,router1,152.39%,0.79%,62.72MiB / 7.754GiB,140000000,501000000
1781581439,router1,148.79%,0.79%,62.71MiB / 7.754GiB,146000000,533000000
1781581441,router1,135.92%,0.79%,62.75MiB / 7.754GiB,151000000,563000000
1781581443,router1,141.19%,0.80%,63.18MiB / 7.754GiB,156000000,593000000
1781581446,router1,137.93%,0.80%,63.14MiB / 7.754GiB,161000000,624000000
1781581448,router1,139.24%,0.80%,63.32MiB / 7.754GiB,167000000,656000000
1781581450,router1,143.20%,0.80%,63.45MiB / 7.754GiB,172000000,687000000
1781581452,router1,142.34%,0.80%,63.41MiB / 7.754GiB,178000000,717000000
1781581454,router1,137.24%,0.80%,63.75MiB / 7.754GiB,183000000,748000000
1781581456,router1,137.37%,0.81%,64.05MiB / 7.754GiB,189000000,780000000
1781581458,router1,131.53%,0.80%,63.88MiB / 7.754GiB,194000000,811000000
1781581460,router1,137.66%,0.80%,63.86MiB / 7.754GiB,200000000,842000000
1781581462,router1,136.11%,0.81%,63.98MiB / 7.754GiB,206000000,874000000
1781581464,router1,133.96%,0.81%,64.15MiB / 7.754GiB,211000000,905000000
1781581466,router1,119.97%,0.81%,64.36MiB / 7.754GiB,217000000,936000000
1781581468,router1,115.68%,0.81%,64.69MiB / 7.754GiB,222000000,967000000
1781581471,router1,138.48%,0.81%,64.49MiB / 7.754GiB,228000000,999000000
1781581473,router1,137.30%,0.81%,64.35MiB / 7.754GiB,233000000,1030000000
1781581475,router1,137.30%,0.81%,64.07MiB / 7.754GiB,239000000,1060000000
1781581477,router1,141.01%,0.81%,64.39MiB / 7.754GiB,244000000,1090000000
1781581479,router1,181.78%,0.81%,63.95MiB / 7.754GiB,251000000,1260000000
1781581481,router1,186.65%,0.82%,65.22MiB / 7.754GiB,259000000,1470000000
1781581483,router1,192.42%,0.81%,64.34MiB / 7.754GiB,267000000,1670000000
1781581485,router1,192.01%,0.81%,64.21MiB / 7.754GiB,275000000,1880000000
1781581487,router1,186.06%,0.83%,66.21MiB / 7.754GiB,283000000,2090000000
1781581489,router1,184.21%,0.81%,64.04MiB / 7.754GiB,290000000,2290000000
1781581491,router1,184.30%,0.80%,63.88MiB / 7.754GiB,298000000,2500000000
1781581494,router1,226.97%,0.80%,63.48MiB / 7.754GiB,306000000,2710000000
1781581496,router1,189.78%,0.80%,63.89MiB / 7.754GiB,315000000,2910000000
1781581498,router1,196.95%,0.80%,63.29MiB / 7.754GiB,323000000,3120000000
1781581500,router1,191.70%,0.80%,63.57MiB / 7.754GiB,331000000,3320000000
1781581502,router1,188.79%,0.80%,63.21MiB / 7.754GiB,339000000,3530000000
1781581504,router1,190.42%,0.80%,63.5MiB / 7.754GiB,347000000,3740000000
1781581506,router1,234.63%,0.81%,64.11MiB / 7.754GiB,356000000,3940000000
1781581508,router1,196.18%,0.83%,66.16MiB / 7.754GiB,364000000,4150000000
1781581510,router1,239.71%,0.83%,66.06MiB / 7.754GiB,372000000,4350000000
1781581512,router1,228.53%,0.80%,63.6MiB / 7.754GiB,380000000,4560000000
1781581514,router1,236.76%,0.80%,63.58MiB / 7.754GiB,389000000,4760000000
1781581516,router1,233.40%,0.80%,63.57MiB / 7.754GiB,397000000,4960000000
1781581518,router1,188.05%,0.80%,63.23MiB / 7.754GiB,405000000,5170000000
1781581520,router1,186.00%,0.81%,64.36MiB / 7.754GiB,413000000,5380000000
1781581523,router1,200.24%,0.80%,63.52MiB / 7.754GiB,421000000,5580000000
1781581525,router1,188.87%,0.81%,64.6MiB / 7.754GiB,429000000,5790000000
1781581527,router1,234.45%,0.80%,63.8MiB / 7.754GiB,437000000,5990000000
1781581529,router1,235.75%,0.80%,63.43MiB / 7.754GiB,446000000,6200000000
1781581531,router1,180.66%,0.81%,64.41MiB / 7.754GiB,454000000,6400000000
1781581533,router1,199.73%,0.81%,64.32MiB / 7.754GiB,462000000,6610000000
1781581535,router1,193.07%,0.80%,63.34MiB / 7.754GiB,470000000,6810000000
1781581537,router1,196.31%,0.80%,63.55MiB / 7.754GiB,478000000,7020000000
1781581539,router1,140.56%,0.82%,64.92MiB / 7.754GiB,484000000,7070000000
1781581541,router1,143.78%,0.82%,64.92MiB / 7.754GiB,489000000,7100000000
1781581543,router1,139.36%,0.82%,64.98MiB / 7.754GiB,494000000,7130000000
1781581545,router1,144.26%,0.82%,64.96MiB / 7.754GiB,500000000,7160000000
1781581548,router1,142.52%,0.82%,65.12MiB / 7.754GiB,505000000,7190000000
1781581550,router1,142.60%,0.82%,65.11MiB / 7.754GiB,511000000,7220000000
1781581552,router1,139.95%,0.82%,64.98MiB / 7.754GiB,516000000,7250000000
1781581554,router1,138.18%,0.82%,65.05MiB / 7.754GiB,521000000,7280000000
1781581556,router1,147.63%,0.82%,64.9MiB / 7.754GiB,527000000,7310000000
1781581558,router1,143.37%,0.82%,65.12MiB / 7.754GiB,532000000,7340000000
1781581560,router1,147.90%,0.82%,65.26MiB / 7.754GiB,537000000,7380000000
1781581562,router1,143.64%,0.82%,65.18MiB / 7.754GiB,542000000,7410000000
1781581564,router1,147.88%,0.82%,64.94MiB / 7.754GiB,547000000,7440000000
1781581566,router1,150.22%,0.82%,64.91MiB / 7.754GiB,553000000,7470000000
1781581568,router1,141.88%,0.82%,64.87MiB / 7.754GiB,558000000,7500000000
1781581570,router1,142.17%,0.82%,65.22MiB / 7.754GiB,563000000,7530000000
1781581572,router1,141.47%,0.82%,64.99MiB / 7.754GiB,568000000,7560000000
1781581574,router1,139.96%,0.82%,65.01MiB / 7.754GiB,574000000,7590000000
1781581577,router1,136.93%,0.82%,65.21MiB / 7.754GiB,579000000,7620000000
1781581579,router1,135.65%,0.82%,64.99MiB / 7.754GiB,585000000,7650000000
1781581581,router1,138.96%,0.82%,65.17MiB / 7.754GiB,590000000,7680000000
1781581583,router1,136.58%,0.82%,65.13MiB / 7.754GiB,596000000,7710000000
1781581585,router1,138.52%,0.82%,65.07MiB / 7.754GiB,601000000,7740000000
1781581587,router1,137.31%,0.82%,64.89MiB / 7.754GiB,607000000,7780000000
1781581589,router1,137.75%,0.82%,64.86MiB / 7.754GiB,613000000,7810000000
1781581591,router1,136.88%,0.82%,64.96MiB / 7.754GiB,618000000,7840000000
1781581593,router1,136.95%,0.82%,65.11MiB / 7.754GiB,624000000,7870000000
1781581595,router1,136.11%,0.82%,64.93MiB / 7.754GiB,629000000,7900000000
1781581597,router1,133.93%,0.82%,65.02MiB / 7.754GiB,635000000,7930000000
1781581599,router1,228.71%,0.85%,67.76MiB / 7.754GiB,646000000,8330000000
1781581601,router1,211.82%,0.86%,68.36MiB / 7.754GiB,658000000,8730000000
1781581604,router1,221.25%,0.88%,70.04MiB / 7.754GiB,669000000,9130000000
1781581606,router1,229.75%,0.88%,69.93MiB / 7.754GiB,680000000,9530000000
1781581608,router1,215.32%,0.90%,71.19MiB / 7.754GiB,691000000,9920000000
1781581610,router1,235.31%,0.90%,71.16MiB / 7.754GiB,702000000,10300000000
1781581612,router1,215.76%,0.90%,71.09MiB / 7.754GiB,713000000,10700000000
1781581614,router1,223.85%,0.91%,72.05MiB / 7.754GiB,724000000,11100000000
1781581616,router1,239.50%,0.90%,71.74MiB / 7.754GiB,735000000,11500000000
1781581618,router1,236.50%,0.90%,71.85MiB / 7.754GiB,746000000,11900000000
1781581620,router1,218.85%,0.90%,71.59MiB / 7.754GiB,758000000,12300000000
1781581622,router1,230.19%,0.90%,71.61MiB / 7.754GiB,769000000,12700000000
1781581624,router1,210.24%,0.90%,71.5MiB / 7.754GiB,781000000,13100000000
1781581626,router1,241.03%,0.90%,71.38MiB / 7.754GiB,792000000,13500000000
1781581628,router1,228.30%,0.90%,71.55MiB / 7.754GiB,802000000,13900000000
1781581630,router1,232.47%,0.91%,72.18MiB / 7.754GiB,813000000,14300000000
1781581632,router1,215.77%,0.90%,71.85MiB / 7.754GiB,824000000,14700000000
1781581634,router1,221.80%,0.90%,71.45MiB / 7.754GiB,836000000,15100000000
1781581637,router1,221.89%,0.90%,71.43MiB / 7.754GiB,847000000,15500000000
1781581639,router1,234.49%,0.90%,71.57MiB / 7.754GiB,858000000,15900000000
1781581641,router1,227.05%,0.90%,71.66MiB / 7.754GiB,869000000,16300000000
1781581643,router1,231.53%,0.91%,72.13MiB / 7.754GiB,879000000,16700000000
1781581645,router1,240.58%,0.90%,71.68MiB / 7.754GiB,890000000,17100000000
1781581647,router1,211.82%,0.90%,71.58MiB / 7.754GiB,902000000,17500000000
